Name,Long,Lat,Category,Province
NHN Matatiele Prv Hosp,28.808675,-30.3522,Private Hospital,Eastern Cape
Life Beacon Bay Hosp,27.939663,-32.9489,Private Hospital,Eastern Cape
Life E London Prv Hosp,27.900134,-33.0125,Private Hospital,Eastern Cape
Life Grey Monument Clinic Hosp,27.397414,-32.8787,Private Hospital,Eastern Cape
Life St Dominic's Hosp,27.90313,-32.9983,Private Hospital,Eastern Cape
Life St James Hosp,27.901072,-33.0009,Private Hospital,Eastern Cape
Life St Mark's Hosp,27.901159,-32.9977,Private Hospital,Eastern Cape
NHN East London Eye Hosp,27.897928,-33.0019,Private Hospital,Eastern Cape
NHN Icare Gonubie Med Centre,27.993444,-32.9362,Private Hospital,Eastern Cape
Life Queenstown Prv Hosp,26.880087,-31.8979,Private Hospital,Eastern Cape
NHN Care Cure Queenstown Sub-Acute Hosp,26.858113,-31.8947,Private Hospital,Eastern Cape
Netcare Cuyler Hosp,25.391914,-33.765,Private Hospital,Eastern Cape
Life Hunterscraig Hosp,25.60982,-33.9683,Private Hospital,Eastern Cape
Life Mercantile Hosp,25.575102,-33.9306,Private Hospital,Eastern Cape
Life St George's Hosp,25.605816,-33.9678,Private Hospital,Eastern Cape
Netcare Greenacres Hosp,25.579902,-33.9517,Private Hospital,Eastern Cape
NHN Aurora Rehab Hosp,25.560195,-33.969,Private Hospital,Eastern Cape
NHN Icare Walmer Med Centre,25.555528,-33.9913,Private Hospital,Eastern Cape
Oasim Hosp,25.613479,-33.963,Private Hospital,Eastern Cape
Westways Hosp,25.558915,-33.9478,Private Hospital,Eastern Cape
Life St Mary's Hosp,28.785432,-31.5909,Private Hospital,Eastern Cape
NHN Crossmed Mthatha Prv Hosp,28.761941,-31.5938,Private Hospital,Eastern Cape
NHN Mthatha Sub-Acute Hosp,28.785204,-31.5913,Private Hospital,Eastern Cape
Life Isivivana Hosp,24.780218,-34.0299,Private Hospital,Eastern Cape
Netcare Port Alfred Hosp,26.876792,-33.5966,Private Hospital,Eastern Cape
Tower Hosp,26.63678,-32.7702,Public Hospital,Eastern Cape
Komani Hosp,26.907204,-31.9171,Public Hospital,Eastern Cape
Elizabeth Donkin Hosp,25.62671,-33.9797,Public Hospital,Eastern Cape
Fort England Hosp,26.54361,-33.3156,Public Hospital,Eastern Cape
T Bequest Hosp (Mat),28.80195,-30.3327,Public Hospital,Eastern Cape
Greenville Hosp,30.108882,-30.9316,Public Hospital,Eastern Cape
St Patrick's Hosp,29.85162,-30.8654,Public Hospital,Eastern Cape
Sipetu Hosp,29.18731,-31.0917,Public Hospital,Eastern Cape
Madzikane Hosp,28.99562,-30.9009,Public Hospital,Eastern Cape
Mt Ayliff Hosp,29.3596,-30.8052,Public Hospital,Eastern Cape
Cathcart Hosp,27.13691,-32.2902,Public Hospital,Eastern Cape
SS Gida Hosp,27.1435,-32.6745,Public Hospital,Eastern Cape
Stutterheim Hosp,27.419427,-32.5713,Public Hospital,Eastern Cape
Komga Hosp,27.89576,-32.576,Public Hospital,Eastern Cape
Madwaleni Hosp,28.87875,-32.0958,Public Hospital,Eastern Cape
Butterworth Hosp,28.13877,-32.3323,Public Hospital,Eastern Cape
Tafalofefe Hosp,28.51829,-32.4102,Public Hospital,Eastern Cape
Nompumelelo Hosp,27.13244,-33.2092,Public Hospital,Eastern Cape
Adelaide Hosp,26.29427,-32.7009,Public Hospital,Eastern Cape
Bedford Hosp,26.083139,-32.6762,Public Hospital,Eastern Cape
Fort Beaufort Hosp,26.633571,-32.7802,Public Hospital,Eastern Cape
Victoria Hosp,26.84678,-32.7752,Public Hospital,Eastern Cape
Bhisho Hosp,27.45516,-32.8277,Public Hospital,Eastern Cape
Grey Hosp,27.39579,-32.8793,Public Hospital,Eastern Cape
Dordrecht Hosp,27.045615,-31.3913,Public Hospital,Eastern Cape
Glen Grey Hosp,27.19939,-31.7199,Public Hospital,Eastern Cape
Indwe Hosp,27.34042,-31.4683,Public Hospital,Eastern Cape
All Saints Hosp,28.05041,-31.6619,Public Hospital,Eastern Cape
Mjanyana Hosp,28.1038,-31.836,Public Hospital,Eastern Cape
Hewu Hosp,26.80522,-32.1727,Public Hospital,Eastern Cape
M Venter Hosp,26.25884,-32.0089,Public Hospital,Eastern Cape
Molteno Hosp,26.3555,-31.3916,Public Hospital,Eastern Cape
Sterkstroom Hosp,26.55338,-31.5531,Public Hospital,Eastern Cape
Cofimvaba Hosp,27.58348,-32.0119,Public Hospital,Eastern Cape
Cradock Hosp,25.62243,-32.1673,Public Hospital,Eastern Cape
W Stahl Hosp,24.99351,-31.4917,Public Hospital,Eastern Cape
Cala Hosp,27.68274,-31.5223,Public Hospital,Eastern Cape
Elliot Hosp,27.83797,-31.3371,Public Hospital,Eastern Cape
Maclear Hosp,28.34775,-31.0759,Public Hospital,Eastern Cape
T Bequest Hosp (Elu),28.50961,-30.6894,Public Hospital,Eastern Cape
Cloete Joubert Hosp,27.58507,-30.9676,Public Hospital,Eastern Cape
Empilisweni Hosp,27.35337,-30.5332,Public Hospital,Eastern Cape
L Grey Hosp,27.21188,-30.7128,Public Hospital,Eastern Cape
Umlamli Hosp,27.47457,-30.5604,Public Hospital,Eastern Cape
Aliwal North Hosp,26.70719,-30.6969,Public Hospital,Eastern Cape
Burgersdorp Hosp,26.31398,-30.9935,Public Hospital,Eastern Cape
Jamestown Hosp,26.8074,-31.1236,Public Hospital,Eastern Cape
Steynsburg Hosp,25.813211,-31.2932,Public Hospital,Eastern Cape
St Francis Hosp,26.69921,-30.6887,Public Hospital,Eastern Cape
Uitenhage Hosp,25.40679,-33.7415,Public Hospital,Eastern Cape
Holy Cross Hosp,29.49531,-31.0812,Public Hospital,Eastern Cape
Zitulele Hosp,29.09162,-32.0505,Public Hospital,Eastern Cape
Dr Malizo Mpehle Hosp,28.778056,-31.3165,Public Hospital,Eastern Cape
N Knight Hosp,28.68223,-31.0091,Public Hospital,Eastern Cape
St Lucy's Hosp,28.62983,-31.3007,Public Hospital,Eastern Cape
Canzibe Hosp,29.06588,-31.8088,Public Hospital,Eastern Cape
St Barnabas Hosp,29.11617,-31.5642,Public Hospital,Eastern Cape
Bambisana Hosp,29.45397,-31.4501,Public Hospital,Eastern Cape
Isilimela Hosp,29.35888,-31.7342,Public Hospital,Eastern Cape
Andries Vosloo Hosp,25.59525,-32.7218,Public Hospital,Eastern Cape
Aberdeen Hosp,24.06093,-32.4862,Public Hospital,Eastern Cape
Midland Hosp,24.53619,-32.2608,Public Hospital,Eastern Cape
Sawas Hosp,24.66203,-32.9422,Public Hospital,Eastern Cape
Willowmore Hosp,23.46757,-33.3004,Public Hospital,Eastern Cape
Humansdorp Hosp,24.78144,-34.0302,Public Hospital,Eastern Cape
BJ Vorster Hosp,24.29786,-33.9515,Public Hospital,Eastern Cape
Settlers Hosp,26.51464,-33.3024,Public Hospital,Eastern Cape
P Alfred Hosp,26.88312,-33.5953,Public Hospital,Eastern Cape
Sundays Valley Hosp,25.44001,-33.3947,Public Hospital,Eastern Cape
Mandela Acad Hosp,28.764234,-31.5881,Public Hospital,Eastern Cape
Frere Hosp,27.89156,-32.9959,Public Hospital,Eastern Cape
Livingstone Hosp,25.57074,-33.9251,Public Hospital,Eastern Cape
PE Prov Hosp,25.59982,-33.9584,Public Hospital,Eastern Cape
Newhaven Hosp,27.90592,-32.9828,Public Hospital,Eastern Cape
Bedford Orth Hosp,28.70717,-31.576,Public Hospital,Eastern Cape
Tower Hosp,26.63678,-32.7702,Public Hospital,Eastern Cape
Komani Hosp,26.907204,-31.9171,Public Hospital,Eastern Cape
Elizabeth Donkin Hosp,25.62671,-33.9797,Public Hospital,Eastern Cape
Fort England Hosp,26.54361,-33.3156,Public Hospital,Eastern Cape
C Makiwane Hosp,27.74422,-32.9278,Public Hospital,Eastern Cape
Frontier Hosp,26.871347,-31.8892,Public Hospital,Eastern Cape
Dora Nginza Hosp,25.563114,-33.8825,Public Hospital,Eastern Cape
St Elizabeth's Hosp,29.56532,-31.3598,Public Hospital,Eastern Cape
Mthatha Gen Hosp,28.76593,-31.5903,Public Hospital,Eastern Cape
Khotsong TB Hosp,28.82118,-30.3481,Public Hospital,Eastern Cape
Winterberg TB Hosp,26.656323,-32.7793,Public Hospital,Eastern Cape
Fort Grey TB Hosp,27.82122,-33.022,Public Hospital,Eastern Cape
Nkqubela Hosp,27.74088,-32.9328,Public Hospital,Eastern Cape
J Pearson TB Hosp,25.46905,-33.8919,Public Hospital,Eastern Cape
Orsmond TB Hosp,25.38002,-33.7474,Public Hospital,Eastern Cape
Empilweni TB Hosp,25.58545,-33.9086,Public Hospital,Eastern Cape
Mthatha Chest Hosp,28.76497,-31.5911,Public Hospital,Eastern Cape
M Parkes TB Hosp,24.55619,-32.2678,Public Hospital,Eastern Cape
PZ Meyer Hosp,24.75869,-34.0225,Public Hospital,Eastern Cape
Temba TB Hosp,26.54657,-33.3069,Public Hospital,Eastern Cape
M Parrish TB Hosp,26.88126,-33.5624,Public Hospital,Eastern Cape
Basambilu Med Centre,28.19,-26.01,Private Hospital,Gauteng
Diepsloot Med Centre,28.01873,-25.9205,Private Hospital,Gauteng
HEALth-WorX Carlswald Med Centre,28.116646,-25.9795,Private Hospital,Gauteng
Life Fourways Hosp,27.993825,-26.0112,Private Hospital,Gauteng
Mediwell Dainfern Square Med Centre,28.013146,-25.9929,Private Hospital,Gauteng
Netcare Sunninghill Hosp,28.06941,-26.0384,Private Hospital,Gauteng
Netcare Waterfall City Hosp,28.10258,-26.0146,Private Hospital,Gauteng
NHN Icare Fourways Med Centre,28.006778,-26.0159,Private Hospital,Gauteng
Phedisong Health Care,28.240658,-25.9984,Private Hospital,Gauteng
Sunninghill Med Centre,28.080208,-26.0382,Private Hospital,Gauteng
Tanganani Health Care,28.011625,-25.9293,Private Hospital,Gauteng
HEALth-WorX Cresta Med Centre,27.974217,-26.1316,Private Hospital,Gauteng
HEALth-WorX Randridge Med Centre,27.941652,-26.1008,Private Hospital,Gauteng
Life Riverfield Lodge Hosp,27.962992,-25.9451,Private Hospital,Gauteng
Mediclinic Sandton Hosp,28.01204,-26.0772,Private Hospital,Gauteng
