Province,District,LocalMunicipality,Name,Longitude,Latitude,ContactPerson,Address,OrgUnitType
Eastern Cape,ec Alfred Nzo District Municipality,ec Matatiele Local Municipality,ec Maluti CHC,28.78891,-30.2658,,Maluti Township,Community Health Centre
Eastern Cape,ec Alfred Nzo District Municipality,ec Ntabankulu Local Municipality,ec Tabankulu CHC,29.29951,-30.9633,,"Nompukane Street, Erf 86, Ntabankulu",Community Health Centre
Eastern Cape,ec Amathole District Municipality,ec Mbhashe Local Municipality,ec Idutywa Village CHC,28.29909,-32.097,,R408 Way To Willovale,Community Health Centre
Eastern Cape,ec Amathole District Municipality,ec Mbhashe Local Municipality,ec Willowvale CHC,28.49823,-32.2654,,363 Kob Inn Road,Community Health Centre
Eastern Cape,ec Amathole District Municipality,ec Mbhashe Local Municipality,ec Xhora CHC,28.68389,-31.9678,,Elliotdale Main Street,Community Health Centre
Eastern Cape,ec Amathole District Municipality,ec Mnquma Local Municipality,ec Nqamakwe CHC,27.93613,-32.2082,,"Main Road, Nqamakwe Village",Community Health Centre
Eastern Cape,ec Amathole District Municipality,ec Raymond Mhlaba Local Municipality,ec Middledrift CHC,26.98832,-32.8135,,Cnr Bokwe and Mhlambiso Street,Community Health Centre
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Dimbaza CHC,27.21388,-32.8352,,Dimbaza Central,Community Health Centre
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Duncan Village CHC,27.88599,-33.0078,,Plumbayo Road,Community Health Centre
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Empilweni Gompo CHC,27.84894,-33.0145,,"1 Dunoon Road, Buffalo Flats",Community Health Centre
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Mount Coke CHC,27.44252,-32.9804,,Mt Coke Village,Community Health Centre
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Nontyatyambo CHC,27.75458,-32.9472,,"9758 Dunga Road, Mdantsane",Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Emalahleni Local Municipality,ec Ngonyama CHC,26.93369,-31.6815,,Ngqonyama Village,Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Engcobo Local Municipality,ec Ngcobo CHC,28.00549,-31.6785,,,Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Engcobo Local Municipality,ec Zwelakhe Dalasile CHC,28.24387,-31.6481,,,Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Nomzamo CHC,26.97074,-31.913,,,Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Thornhill CHC,26.61368,-31.9872,,"Thornhill Village, Ntabethemba",Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Whittlesea CHC,26.82082,-32.1729,,648 Stand,Community Health Centre
Eastern Cape,ec Chris Hani District Municipality,ec Intsika Yethu Local Municipality,ec Kuyasa CHC,27.58245,-32.0071,,"High Street, Cofimvaba",Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela A Health sub-District,ec Kwazakhele CHC,25.58605,-33.8775,,Mavuso Road,Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela A Health sub-District,ec Motherwell CHC,25.59794,-33.8118,,Tyinira Road,Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,ec Laetitia Bam CHC,25.39833,-33.808,,Matanzima Road,Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,ec Rosedale CHC,25.37618,-33.7368,,1 Acardia Street,Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,ec Central CHC (Sandford),25.60172,-33.958,,Northwod Road,Community Health Centre
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,ec Gqebera CHC,25.58886,-33.9861,,Vuyo Street,Community Health Centre
