Province,District,LocalMunicipality,Name,Longitude,Latitude,ContactPerson,Address,OrgUnitType
Eastern Cape,ec Alfred Nzo District Municipality,ec Matatiele Local Municipality,ec Matatiele EMS Station,28.82022,-30.348,,"Main Street, Matatiele, Private Bag X836",EMS Station
Eastern Cape,ec Alfred Nzo District Municipality,ec Mbizana Local Municipality,ec Bizana EMS Station,29.854648,-30.8621,,,EMS Station
Eastern Cape,ec Alfred Nzo District Municipality,ec Mbizana Local Municipality,ec Mzamba EMS Station,30.183295,-31.0781,,,EMS Station
Eastern Cape,ec Alfred Nzo District Municipality,ec Ntabankulu Local Municipality,ec Sipetu EMS Station,29.18,-31.09,,,EMS Station
Eastern Cape,ec Alfred Nzo District Municipality,ec Ntabankulu Local Municipality,ec Tabankulu EMS Station,29.29,-30.96,,,EMS Station
Eastern Cape,ec Alfred Nzo District Municipality,ec Umzimvubu Local Municipality,ec Mount Ayliff EMS Station,29.37102,-30.7977,,,EMS Station
Eastern Cape,ec Alfred Nzo District Municipality,ec Umzimvubu Local Municipality,ec Mount Frere EMS Station,28.99,-30.9,,,EMS Station
Eastern Cape,ec Amathole District Municipality,ec Amahlathi Local Municipality,ec Cathcart EMS Station,27.143,-32.298,,,EMS Station
Eastern Cape,ec Amathole District Municipality,ec Amahlathi Local Municipality,ec Keiskammahoek EMS Station,27.13396,-32.6835,,,EMS Station
Eastern Cape,ec Amathole District Municipality,ec Amahlathi Local Municipality,ec Stutterheim EMS Station,27.42,-32.56,,,EMS Station
Eastern Cape,ec Amathole District Municipality,ec Great Kei Local Municipality,ec Komga EMS Station,27.89576,-32.576,,,EMS Station
Eastern Cape,ec Amathole District Municipality,ec Mbhashe Local Municipality,ec Willowvale EMS Station,28.498,-32.265,,,EMS Station
Eastern Cape,ec Amathole District Municipality,ec Mnquma Local Municipality,ec Butterworth EMS Station,28.138,-32.332,,,EMS Station
Eastern Cape,ec Amathole District Municipality,ec Ngqushwa Local Municipality,ec Peddie EMS Station,27.132,-33.21,,,EMS Station
Eastern Cape,ec Amathole District Municipality,ec Raymond Mhlaba Local Municipality,ec Adelaide EMS Station,26.294,-32.699,,,EMS Station
Eastern Cape,ec Amathole District Municipality,ec Raymond Mhlaba Local Municipality,ec Bedford EMS Station,26.083139,-32.6762,,,EMS Station
Eastern Cape,ec Amathole District Municipality,ec Raymond Mhlaba Local Municipality,ec Fort Beaufort EMS Station,26.634,-32.781,,,EMS Station
Eastern Cape,ec Amathole District Municipality,ec Raymond Mhlaba Local Municipality,ec Victoria EMS Station,26.846,-32.775,,,EMS Station
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec East London EMS Station,27.89822,-32.9785,,,EMS Station
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Grey EMS Station,27.39,-32.87,,,EMS Station
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Mdantsane EMS Station,27.74,-32.92,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Emalahleni Local Municipality,ec Dordrecht EMS Station,27.044,-31.391,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Emalahleni Local Municipality,ec Indwe EMS Station,27.34042,-31.4683,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Emalahleni Local Municipality,ec Lady Frere EMS Station,27.199,-31.719,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Engcobo Local Municipality,ec Ngcobo EMS Station,28.005,-31.678,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Hewu EMS Station,26.805,-32.172,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Hofmeyer EMS Station,25.805,-31.654,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Ilinge EMS Station,27.04,-31.977,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Molteno EMS Station,26.355,-31.391,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Queenstown EMS Station,26.90854,-31.9225,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Sterkstroom EMS Station,26.553,-31.553,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Tarkastad EMS Station,26.259,-32.01,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Thornhill EMS Station,26.613,-31.987,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Intsika Yethu Local Municipality,ec Cofimvaba EMS Station,27.583,-32.011,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Intsika Yethu Local Municipality,ec Ncora EMS Station,27.74,-31.818,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Intsika Yethu Local Municipality,ec Tsomo EMS Station,27.82,-32.038,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Inxuba Yethemba Local Municipality,ec Cradock EMS Station,25.622,-32.167,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Inxuba Yethemba Local Municipality,ec Middelburg EMS Station,25.008,-31.495,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Sakhisizwe Local Municipality,ec Cala EMS Station,27.682,-31.522,,,EMS Station
Eastern Cape,ec Chris Hani District Municipality,ec Sakhisizwe Local Municipality,ec Elliot EMS Station,27.837,-31.337,,,EMS Station
Eastern Cape,ec Joe Gqabi District Municipality,ec Elundini Local Municipality,ec Maclear EMS Station,28.347,-31.075,,,EMS Station
Eastern Cape,ec Joe Gqabi District Municipality,ec Elundini Local Municipality,ec Tayler Bequest EMS Station,28.509,-30.689,,"Hospital St, Mount Fletcher, 4770",EMS Station
Eastern Cape,ec Joe Gqabi District Municipality,ec Senqu Local Municipality,ec Barkly East EMS Station,27.594,-30.972,,,EMS Station
Eastern Cape,ec Joe Gqabi District Municipality,ec Senqu Local Municipality,ec Lady Grey EMS Station,25.819,-31.29,,,EMS Station
Eastern Cape,ec Joe Gqabi District Municipality,ec Senqu Local Municipality,ec Sterkspruit EMS Station,27.532,-30.454,,,EMS Station
Eastern Cape,ec Joe Gqabi District Municipality,ec Walter Sisulu Local Municipality,ec Aliwal North EMS Station,26.707,-30.696,,,EMS Station
Eastern Cape,ec Joe Gqabi District Municipality,ec Walter Sisulu Local Municipality,ec Burgersdorp EMS Station,26.332,-30.994,,,EMS Station
Eastern Cape,ec Joe Gqabi District Municipality,ec Walter Sisulu Local Municipality,ec Jamestown EMS Station,26.807,-31.123,,,EMS Station
Eastern Cape,ec Joe Gqabi District Municipality,ec Walter Sisulu Local Municipality,ec Steynsburg EMS Station,25.811,-31.296,,,EMS Station
Eastern Cape,ec Joe Gqabi District Municipality,ec Walter Sisulu Local Municipality,ec Venterstad EMS Station,25.796,-30.778,,,EMS Station
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela A Health sub-District,ec Motherwell EMS Station,25.597,-33.811,,,EMS Station
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,ec Despatch EMS Station,25.470391,-33.8029,,,EMS Station
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,ec Uitenhage EMS Station,25.406,-33.741,,,EMS Station
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,ec Port Elizabeth EMS Station,25.59,-33.95,,,EMS Station
Eastern Cape,ec Oliver Tambo District Municipality,ec Ingquza Hill Local Municipality,ec Flagstaff EMS Station,29.496,-31.08,,,EMS Station
Eastern Cape,ec Oliver Tambo District Municipality,ec Ingquza Hill Local Municipality,ec Lusikisiki EMS Station,29.572,-31.374,,,EMS Station
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,ec Mqanduli EMS Station,28.765,-31.823,,,EMS Station
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,ec Mthatha EMS Station,28.77493,-31.5911,,,EMS Station
Eastern Cape,ec Oliver Tambo District Municipality,ec Mhlontlo Local Municipality,ec Qumbu EMS Station,28.869,-31.167,,,EMS Station
Eastern Cape,ec Oliver Tambo District Municipality,ec Mhlontlo Local Municipality,ec Tsolo EMS Station,28.758,-31.307,,,EMS Station
Eastern Cape,ec Oliver Tambo District Municipality,ec Nyandeni Local Municipality,ec Libode EMS Station,29.016,-31.545,,,EMS Station
Eastern Cape,ec Oliver Tambo District Municipality,ec Nyandeni Local Municipality,ec Ngqeleni EMS Station,28.841,-31.624,,,EMS Station
Eastern Cape,ec Oliver Tambo District Municipality,ec Port St Johns Local Municipality,ec Port St Johns EMS Station,29.545,-31.632,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Blue Crane Route Local Municipality,ec Cookhouse EMS Station,25.81,-32.74,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Blue Crane Route Local Municipality,ec Pearston EMS Station,25.12,-32.57,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Blue Crane Route Local Municipality,ec Somerset East EMS Station,25.58,-32.71,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Dr Beyers Naud������ Local Municipality,ec Aberdeen EMS Station,24.06093,-32.4862,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Dr Beyers Naud������ Local Municipality,ec Graaff-Reinet EMS Station,24.55239,-32.2728,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Dr Beyers Naud������ Local Municipality,ec Jansenville EMS Station,24.66,-32.94,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Dr Beyers Naud������ Local Municipality,ec Klipplaat EMS Station,24.33,-33.02,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Dr Beyers Naud������ Local Municipality,ec Steytlerville EMS Station,24.34,-33.33,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Dr Beyers Naud������ Local Municipality,ec Willowmore EMS Station,23.46,-33.3,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Kouga Local Municipality,ec Humansdorp EMS Station,24.78144,-34.0302,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Kouga Local Municipality,ec Jeffreys Bay EMS Station,24.918,-34.028,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Kouga Local Municipality,ec Patensie EMS Station,24.81,-33.758,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Kou-Kamma Local Municipality,ec Joubertina EMS Station,23.864,-33.826,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Kou-Kamma Local Municipality,ec Kareedouw EMS Station,24.306,-33.952,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Kou-Kamma Local Municipality,ec Sanddrift EMS Station,23.97,-33.99,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Makana Local Municipality,ec Alicedale EMS Station,26.09,-33.317,,,EMS Station
Eastern Cape,ec Sarah Baartman District Municipality,ec Makana Local Municipality,ec Grahamstown EMS Station,26.552,-33.317,,,EMS Station
