state,date,ML,High_90,Low_90
EC,2020-04-11,3.84,6.33,0.77
EC,2020-04-12,3.35,5.12,1.21
EC,2020-04-13,3.11,4.55,1.51
EC,2020-04-14,2.67,3.87,1.3
EC,2020-04-15,2.19,3.29,0.98
EC,2020-04-16,1.71,2.71,0.53
EC,2020-04-17,1.4000000000000001,2.37,0.3
EC,2020-04-18,1.09,1.99,0.07
EC,2020-04-19,1.1,2.0100000000000002,0.06
EC,2020-04-20,1.19,2.16,0.17
EC,2020-04-21,1.3800000000000001,2.37,0.31
EC,2020-04-22,1.45,2.38,0.33
EC,2020-04-23,1.48,2.41,0.4
EC,2020-04-24,1.44,2.34,0.38
EC,2020-04-25,1.3,2.17,0.27
EC,2020-04-26,1.1500000000000001,1.99,0.16
EC,2020-04-27,0.87,1.67,0.0
EC,2020-04-28,0.6900000000000001,1.55,0.0
EC,2020-04-29,0.67,1.55,0.0
EC,2020-04-30,0.71,1.6,0.0
EC,2020-05-01,0.81,1.68,0.0
EC,2020-05-02,1.0,1.8800000000000001,0.06
FS,2020-03-21,3.84,8.31,0.0
FS,2020-03-22,3.35,6.48,0.07
FS,2020-03-23,3.5700000000000003,6.12,0.46
FS,2020-03-24,2.99,5.13,0.44
FS,2020-03-25,3.16,5.0600000000000005,0.84
FS,2020-03-26,2.68,4.3500000000000005,0.6900000000000001
FS,2020-03-27,2.07,3.5300000000000002,0.32
FS,2020-03-28,1.36,2.68,0.0
FS,2020-03-29,0.67,2.25,0.0
FS,2020-03-30,0.51,2.05,0.0
FS,2020-03-31,0.63,2.22,0.0
FS,2020-04-01,0.65,2.25,0.0
FS,2020-04-02,0.66,2.27,0.0
FS,2020-04-03,0.67,2.3000000000000003,0.0
FS,2020-04-04,0.59,2.19,0.0
FS,2020-04-05,0.61,2.23,0.0
FS,2020-04-06,0.62,2.27,0.0
FS,2020-04-07,0.63,2.31,0.0
FS,2020-04-08,0.74,2.49,0.0
FS,2020-04-09,0.64,2.34,0.0
FS,2020-04-10,0.65,2.37,0.0
FS,2020-04-11,0.5700000000000001,2.2600000000000002,0.0
