state,date,ML,High_90,Low_90
alfred_nzo,2020-04-26,3.84,8.31,0.0
alfred_nzo,2020-04-27,2.2800000000000002,5.76,0.0
alfred_nzo,2020-04-29,1.82,4.75,0.0
alfred_nzo,2020-05-01,1.61,4.18,0.0
alfred_nzo,2020-05-02,1.48,3.8000000000000003,0.0
alfred_nzo,2020-05-03,1.0,3.27,0.0
alfred_nzo,2020-05-04,0.12,2.93,0.0
alfred_nzo,2020-05-05,0.12,2.88,0.0
alfred_nzo,2020-05-06,0.12,2.84,0.0
alfred_nzo,2020-05-07,0.13,2.8000000000000003,0.0
buffalo_city_metro,2020-04-20,1.0,3.6,0.0
buffalo_city_metro,2020-04-26,0.73,2.66,0.0
buffalo_city_metro,2020-04-27,0.1,2.13,0.0
buffalo_city_metro,2020-04-29,0.1,1.83,0.0
buffalo_city_metro,2020-05-01,0.11,1.7,0.0
buffalo_city_metro,2020-05-02,0.11,1.53,0.0
buffalo_city_metro,2020-05-03,0.11,1.52,0.0
buffalo_city_metro,2020-05-04,0.13,1.57,0.0
buffalo_city_metro,2020-05-05,0.14,1.56,0.0
buffalo_city_metro,2020-05-06,0.14,1.49,0.0
buffalo_city_metro,2020-05-07,0.15,1.48,0.0
chris_hani,2020-04-20,1.0,3.27,0.0
chris_hani,2020-04-26,1.0,2.59,0.0
chris_hani,2020-04-27,0.86,2.18,0.0
chris_hani,2020-04-29,0.68,1.87,0.0
chris_hani,2020-05-01,0.46,1.61,0.0
chris_hani,2020-05-02,0.11,1.42,0.0
chris_hani,2020-05-03,0.11,1.31,0.0
chris_hani,2020-05-04,0.11,1.27,0.0
chris_hani,2020-05-05,0.11,1.23,0.0
chris_hani,2020-05-06,0.12,1.23,0.0
chris_hani,2020-05-07,0.12,1.23,0.0
nelson_mandele_metro,2020-04-20,1.0,2.3000000000000003,0.0
nelson_mandele_metro,2020-04-26,1.0,1.9000000000000001,0.01
nelson_mandele_metro,2020-04-27,0.81,1.56,0.0
nelson_mandele_metro,2020-04-29,0.63,1.31,0.0
nelson_mandele_metro,2020-05-01,0.47000000000000003,1.12,0.0
nelson_mandele_metro,2020-05-02,0.14,0.96,0.0
nelson_mandele_metro,2020-05-03,0.11,0.86,0.0
nelson_mandele_metro,2020-05-04,0.11,0.8300000000000001,0.0
nelson_mandele_metro,2020-05-05,0.1,0.79,0.0
nelson_mandele_metro,2020-05-06,0.11,0.79,0.0
nelson_mandele_metro,2020-05-07,0.12,0.81,0.0
or_tambo,2020-04-20,1.0,3.8200000000000003,0.0
or_tambo,2020-04-26,0.09,2.8000000000000003,0.0
or_tambo,2020-04-27,0.1,2.35,0.0
or_tambo,2020-04-29,0.11,2.09,0.0
or_tambo,2020-05-01,0.11,1.9100000000000001,0.0
or_tambo,2020-05-02,0.11,1.7,0.0
or_tambo,2020-05-03,0.12,1.68,0.0
or_tambo,2020-05-04,0.12,1.59,0.0
or_tambo,2020-05-05,0.12,1.52,0.0
or_tambo,2020-05-06,0.11,1.45,0.0
or_tambo,2020-05-07,0.11,1.3900000000000001,0.0
