state,date,ML,High_90,Low_90
Ekurhuleni,2020-05-16,1.67,4.34,0.00
Ekurhuleni,2020-05-17,1.32,3.25,0.00
Ekurhuleni,2020-05-18,1.21,2.80,0.00
Ekurhuleni,2020-05-19,0.98,2.41,0.00
Ekurhuleni,2020-05-20,0.97,2.27,0.00
Ekurhuleni,2020-05-21,1.10,2.28,0.03
Ekurhuleni,2020-05-22,1.38,2.47,0.11
Ekurhuleni,2020-05-23,1.48,2.54,0.23
Ekurhuleni,2020-05-24,1.61,2.62,0.38
Ekurhuleni,2020-05-25,1.62,2.60,0.49
Ekurhuleni,2020-05-26,1.57,2.49,0.50
Ekurhuleni,2020-05-27,1.62,2.49,0.60
Ekurhuleni,2020-05-28,1.69,2.54,0.76
Ekurhuleni,2020-05-29,1.76,2.55,0.87
Ekurhuleni,2020-05-30,1.77,2.50,0.91
Ekurhuleni,2020-05-31,1.69,2.40,0.89
Ekurhuleni,2020-06-01,1.61,2.29,0.84
Ekurhuleni,2020-06-02,1.59,2.26,0.86
Ekurhuleni,2020-06-03,1.61,2.25,0.89
Ekurhuleni,2020-06-04,1.65,2.27,0.96
Ekurhuleni,2020-06-05,1.64,2.23,0.96
Ekurhuleni,2020-06-06,1.56,2.15,0.92
Ekurhuleni,2020-06-07,1.47,2.02,0.81
Ekurhuleni,2020-06-08,1.48,2.06,0.88
Ekurhuleni,2020-06-09,1.62,2.16,1.00
Ekurhuleni,2020-06-10,1.96,2.47,1.36
Ekurhuleni,2020-06-11,2.26,2.74,1.70
Ekurhuleni,2020-06-12,2.35,2.79,1.83
Ekurhuleni,2020-06-13,2.20,2.63,1.74
Ekurhuleni,2020-06-14,2.05,2.43,1.58
Ekurhuleni,2020-06-15,1.82,2.19,1.37
Ekurhuleni,2020-06-16,1.67,2.03,1.23
Ekurhuleni,2020-06-17,1.58,1.95,1.17
Ekurhuleni,2020-06-18,1.54,1.89,1.12
Ekurhuleni,2020-06-19,1.52,1.86,1.10
Ekurhuleni,2020-06-20,1.50,1.84,1.10
Ekurhuleni,2020-06-21,1.47,1.80,1.07
Ekurhuleni,2020-06-22,1.57,1.90,1.19
Ekurhuleni,2020-06-23,1.67,1.98,1.29
Ekurhuleni,2020-06-24,1.74,2.07,1.41
Ekurhuleni,2020-06-25,1.75,2.04,1.40
Ekurhuleni,2020-06-26,1.67,1.95,1.33
Ekurhuleni,2020-06-27,1.57,1.86,1.26
Ekurhuleni,2020-06-28,1.43,1.71,1.12
Ekurhuleni,2020-06-29,1.41,1.70,1.12
Ekurhuleni,2020-06-30,1.46,1.74,1.17
Ekurhuleni,2020-07-01,1.61,1.86,1.30
Ekurhuleni,2020-07-02,1.67,1.91,1.37
