state,date,ML,High_90,Low_90
Amajuba,2020-06-25,0.56,3.60,0.00
Amajuba,2020-06-26,0.71,2.84,0.00
Amajuba,2020-06-27,0.80,2.50,0.00
Amajuba,2020-06-28,0.71,2.21,0.00
Amajuba,2020-06-29,1.16,2.44,0.04
Amajuba,2020-06-30,1.56,2.75,0.23
Amajuba,2020-07-01,1.93,3.10,0.62
Amajuba,2020-07-02,2.16,3.22,0.94
Amajuba,2020-07-03,2.23,3.19,1.12
Amajuba,2020-07-04,2.11,3.01,1.10
Amajuba,2020-07-05,1.87,2.72,0.91
Amajuba,2020-07-06,1.63,2.46,0.71
Amajuba,2020-07-07,1.57,2.38,0.66
Amajuba,2020-07-08,1.64,2.43,0.75
Amajuba,2020-07-09,1.77,2.52,0.89
Amajuba,2020-07-10,1.85,2.58,1.02
Amajuba,2020-07-11,1.95,2.63,1.14
Amajuba,2020-07-12,1.80,2.47,1.05
Amajuba,2020-07-13,1.69,2.34,0.96
Amajuba,2020-07-14,1.51,2.15,0.80
Amajuba,2020-07-15,1.49,2.12,0.79
Amajuba,2020-07-16,1.66,2.27,0.97
Amajuba,2020-07-17,1.87,2.47,1.23
Amajuba,2020-07-18,1.91,2.47,1.29
Amajuba,2020-07-19,1.74,2.26,1.12
Amajuba,2020-07-20,1.39,1.90,0.78
Amajuba,2020-07-21,1.00,1.54,0.42
Amajuba,2020-07-22,0.82,1.35,0.22
Amajuba,2020-07-23,0.89,1.43,0.27
Amajuba,2020-07-24,1.27,1.81,0.64
Amajuba,2020-07-25,1.53,2.06,0.94
Amajuba,2020-07-26,1.50,2.01,0.93
Amajuba,2020-07-27,1.16,1.65,0.58
Amajuba,2020-07-28,0.81,1.30,0.23
Amajuba,2020-07-29,0.43,0.90,0.00
Amajuba,2020-07-30,0.40,0.89,0.00
Amajuba,2020-07-31,0.57,1.08,0.03
Amajuba,2020-08-01,0.91,1.46,0.27
Amajuba,2020-08-02,1.02,1.57,0.38
Amajuba,2020-08-03,0.95,1.49,0.31
Amajuba,2020-08-04,0.80,1.33,0.17
Amajuba,2020-08-05,0.65,1.17,0.06
Amajuba,2020-08-06,0.58,1.10,0.02
Amajuba,2020-08-07,0.74,1.29,0.10
Amajuba,2020-08-08,0.90,1.47,0.23
Amajuba,2020-08-09,0.97,1.54,0.29
Amajuba,2020-08-10,0.92,1.50,0.27
Amajuba,2020-08-11,0.79,1.35,0.14
Amajuba,2020-08-12,0.59,1.11,0.00
Amajuba,2020-08-13,0.44,1.00,0.00
Amajuba,2020-08-14,0.28,0.87,0.00
Amajuba,2020-08-15,0.23,0.82,0.00
Amajuba,2020-08-16,0.26,0.84,0.00
Amajuba,2020-08-17,0.22,0.82,0.00
Amajuba,2020-08-18,0.25,0.86,0.00
Harry Gwala,2020-06-25,2.84,5.25,0.15
Harry Gwala,2020-06-26,1.84,3.56,0.02
Harry Gwala,2020-06-27,1.71,3.19,0.11
Harry Gwala,2020-06-28,1.63,2.93,0.12
Harry Gwala,2020-06-29,1.57,2.77,0.15
Harry Gwala,2020-06-30,1.62,2.76,0.23
Harry Gwala,2020-07-01,1.73,2.84,0.39
Harry Gwala,2020-07-02,1.77,2.84,0.50
Harry Gwala,2020-07-03,1.85,2.88,0.66
Harry Gwala,2020-07-04,1.63,2.60,0.49
Harry Gwala,2020-07-05,1.43,2.36,0.34
Harry Gwala,2020-07-06,1.27,2.16,0.21
Harry Gwala,2020-07-07,1.26,2.14,0.20
Harry Gwala,2020-07-08,1.41,2.32,0.35
Harry Gwala,2020-07-09,1.66,2.57,0.62
Harry Gwala,2020-07-10,1.81,2.69,0.83
Harry Gwala,2020-07-11,1.74,2.57,0.79
Harry Gwala,2020-07-12,1.65,2.48,0.77
Harry Gwala,2020-07-13,1.57,2.35,0.68
Harry Gwala,2020-07-14,1.44,2.20,0.56
Harry Gwala,2020-07-15,1.42,2.17,0.55
Harry Gwala,2020-07-16,1.46,2.22,0.63
Harry Gwala,2020-07-17,1.45,2.19,0.63
Harry Gwala,2020-07-18,1.37,2.08,0.54
Harry Gwala,2020-07-19,1.19,1.92,0.41
Harry Gwala,2020-07-20,0.97,1.67,0.20
Harry Gwala,2020-07-21,0.83,1.51,0.09
Harry Gwala,2020-07-22,0.71,1.39,0.03
Harry Gwala,2020-07-23,0.68,1.37,0.01
Harry Gwala,2020-07-24,0.86,1.57,0.08
Harry Gwala,2020-07-25,1.00,1.73,0.18
Harry Gwala,2020-07-26,0.99,1.70,0.16
Harry Gwala,2020-07-27,0.87,1.56,0.08
Harry Gwala,2020-07-28,0.65,1.34,0.00
Harry Gwala,2020-07-29,0.39,1.13,0.00
Harry Gwala,2020-07-30,0.36,1.10,0.00
Harry Gwala,2020-07-31,0.38,1.12,0.00
Harry Gwala,2020-08-01,0.50,1.27,0.00
Harry Gwala,2020-08-02,0.57,1.35,0.00
Harry Gwala,2020-08-03,0.59,1.38,0.00
Harry Gwala,2020-08-04,0.48,1.30,0.00
Harry Gwala,2020-08-05,0.47,1.30,0.00
Harry Gwala,2020-08-06,0.50,1.34,0.00
Harry Gwala,2020-08-07,0.80,1.66,0.04
Harry Gwala,2020-08-08,1.15,2.01,0.19
Harry Gwala,2020-08-09,1.30,2.15,0.31
Harry Gwala,2020-08-10,1.21,2.03,0.25
Harry Gwala,2020-08-11,1.01,1.79,0.11
Harry Gwala,2020-08-12,0.69,1.47,0.00
Harry Gwala,2020-08-13,0.44,1.29,0.00
Harry Gwala,2020-08-14,0.27,1.09,0.00
Harry Gwala,2020-08-15,0.30,1.09,0.00
Harry Gwala,2020-08-16,0.31,1.10,0.00
Harry Gwala,2020-08-17,0.35,1.18,0.00
Harry Gwala,2020-08-18,0.38,1.24,0.00
King Cetshwayo,2020-06-25,0.41,2.33,0.00
King Cetshwayo,2020-06-26,0.56,2.03,0.00
King Cetshwayo,2020-06-27,0.66,1.89,0.00
King Cetshwayo,2020-06-28,0.72,1.82,0.00
