state,date,ML,High_90,Low_90
Capricorn,2020-06-23,2.69,4.94,0.03
Capricorn,2020-06-25,2.28,3.98,0.24
Capricorn,2020-06-26,2.10,3.54,0.41
Capricorn,2020-06-27,1.78,3.05,0.38
Capricorn,2020-06-28,1.69,2.79,0.38
Capricorn,2020-06-29,1.56,2.58,0.39
Capricorn,2020-06-30,1.53,2.50,0.47
Capricorn,2020-07-01,1.59,2.49,0.59
Capricorn,2020-07-02,1.68,2.52,0.76
Capricorn,2020-07-03,1.68,2.44,0.80
Capricorn,2020-07-04,1.68,2.40,0.88
Capricorn,2020-07-05,1.65,2.30,0.87
Capricorn,2020-07-06,1.61,2.25,0.91
Capricorn,2020-07-07,1.54,2.16,0.89
Capricorn,2020-07-08,1.50,2.06,0.84
Mopani,2020-06-18,1.67,4.34,0.00
Mopani,2020-06-19,1.33,3.25,0.00
Mopani,2020-06-20,1.00,2.64,0.00
Mopani,2020-06-21,1.00,2.42,0.00
Mopani,2020-06-23,1.00,2.27,0.00
Mopani,2020-06-25,1.00,2.16,0.00
Mopani,2020-06-26,1.00,2.07,0.00
Mopani,2020-06-27,1.08,2.09,0.03
Mopani,2020-06-28,1.07,2.01,0.02
Mopani,2020-06-29,1.00,1.88,0.00
Mopani,2020-06-30,1.00,1.86,0.03
Mopani,2020-07-01,1.00,1.84,0.05
Mopani,2020-07-02,1.05,1.85,0.05
Mopani,2020-07-03,1.10,1.91,0.13
Mopani,2020-07-04,1.09,1.87,0.13
Mopani,2020-07-05,1.12,1.91,0.20
Mopani,2020-07-06,1.12,1.91,0.25
Mopani,2020-07-07,1.07,1.84,0.23
Mopani,2020-07-08,1.07,1.81,0.23
Sekhukhune,2020-06-25,2.28,4.74,0.00
Sekhukhune,2020-06-26,1.89,3.62,0.00
Sekhukhune,2020-06-27,1.76,3.19,0.07
Sekhukhune,2020-06-28,1.68,2.96,0.16
Sekhukhune,2020-06-29,1.53,2.68,0.17
Sekhukhune,2020-06-30,1.51,2.60,0.26
Sekhukhune,2020-07-01,1.50,2.51,0.32
Sekhukhune,2020-07-02,1.48,2.46,0.41
Sekhukhune,2020-07-03,1.52,2.41,0.47
Sekhukhune,2020-07-04,1.49,2.34,0.52
Sekhukhune,2020-07-05,1.51,2.30,0.58
Sekhukhune,2020-07-06,1.52,2.27,0.65
Sekhukhune,2020-07-07,1.46,2.20,0.67
Sekhukhune,2020-07-08,1.41,2.12,0.66
Vhembe,2020-06-26,1.00,3.96,0.00
Vhembe,2020-06-27,1.00,3.09,0.00
Vhembe,2020-06-28,1.00,2.70,0.00
Vhembe,2020-06-29,0.82,2.34,0.00
Vhembe,2020-06-30,1.00,2.31,0.00
Vhembe,2020-07-01,1.12,2.28,0.00
Vhembe,2020-07-02,1.20,2.25,0.01
Vhembe,2020-07-03,1.42,2.45,0.17
Vhembe,2020-07-04,1.42,2.41,0.25
Vhembe,2020-07-05,1.42,2.37,0.33
Vhembe,2020-07-06,1.42,2.33,0.40
Vhembe,2020-07-07,1.37,2.22,0.39
Vhembe,2020-07-08,1.37,2.21,0.47
Waterberg,2020-06-25,1.56,4.04,0.00
Waterberg,2020-06-26,1.79,3.43,0.00
Waterberg,2020-06-27,1.67,3.05,0.10
Waterberg,2020-06-28,1.82,3.13,0.40
Waterberg,2020-06-29,1.79,2.97,0.53
Waterberg,2020-06-30,1.82,2.87,0.67
Waterberg,2020-07-01,1.82,2.75,0.76
Waterberg,2020-07-02,1.76,2.62,0.81
Waterberg,2020-07-03,1.75,2.55,0.89
Waterberg,2020-07-04,1.70,2.43,0.89
Waterberg,2020-07-05,1.63,2.31,0.87
Waterberg,2020-07-06,1.62,2.27,0.92
Waterberg,2020-07-07,1.55,2.15,0.87
Waterberg,2020-07-08,1.49,2.06,0.84
