date,Median,High_80,Low_80,Infections,Adjusted_Postive
2020-02-26,2.072,2.319,1.751,82.577,0.000
2020-02-27,2.062,2.327,1.797,1.229,0.000
2020-02-28,2.053,2.258,1.746,17.437,0.000
2020-02-29,2.046,2.262,1.785,33.249,0.000
2020-03-01,2.033,2.241,1.788,37.189,0.000
2020-03-02,2.019,2.219,1.791,40.649,0.000
2020-03-03,2.000,2.206,1.807,47.281,5.663
2020-03-04,1.974,2.149,1.766,55.353,8.829
2020-03-05,1.935,2.112,1.748,64.136,11.125
2020-03-06,1.894,2.042,1.698,73.972,13.729
2020-03-07,1.829,1.994,1.674,85.067,17.200
2020-03-08,1.773,1.913,1.617,97.372,20.546
2020-03-09,1.706,1.840,1.553,110.768,25.001
2020-03-10,1.627,1.752,1.485,125.098,29.002
2020-03-11,1.553,1.677,1.433,140.071,33.957
2020-03-12,1.478,1.618,1.379,155.336,40.051
2020-03-13,1.398,1.521,1.299,170.522,46.321
2020-03-14,1.333,1.425,1.232,185.181,53.740
2020-03-15,1.268,1.350,1.160,198.891,62.044
2020-03-16,1.213,1.306,1.130,211.340,71.629
2020-03-17,1.166,1.246,1.073,222.181,81.767
2020-03-18,1.134,1.218,1.055,231.574,92.953
2020-03-19,1.109,1.173,1.026,239.373,105.048
2020-03-20,1.090,1.155,1.003,245.813,117.850
2020-03-21,1.081,1.169,1.021,251.172,131.130
2020-03-22,1.074,1.152,1.001,255.720,144.768
2020-03-23,1.078,1.154,1.006,259.758,158.366
2020-03-24,1.086,1.155,1.005,263.539,171.701
2020-03-25,1.097,1.177,1.021,267.365,184.595
2020-03-26,1.109,1.186,1.036,271.570,196.893
2020-03-27,1.126,1.197,1.040,276.384,208.361
2020-03-28,1.144,1.232,1.079,281.911,218.973
2020-03-29,1.162,1.242,1.088,288.282,228.642
2020-03-30,1.185,1.249,1.096,295.757,237.489
2020-03-31,1.202,1.285,1.120,304.545,245.529
2020-04-01,1.222,1.301,1.135,314.720,252.922
2020-04-02,1.241,1.319,1.149,326.270,259.783
2020-04-03,1.257,1.342,1.167,339.297,266.327
2020-04-04,1.272,1.359,1.177,353.931,272.694
2020-04-05,1.287,1.386,1.199,370.271,279.098
2020-04-06,1.296,1.401,1.206,388.348,285.712
2020-04-07,1.306,1.402,1.211,408.202,292.750
2020-04-08,1.311,1.403,1.212,429.920,300.374
2020-04-09,1.314,1.398,1.214,453.498,308.767
2020-04-10,1.320,1.400,1.222,478.954,318.030
2020-04-11,1.317,1.398,1.217,506.213,328.356
2020-04-12,1.317,1.411,1.225,535.174,339.869
2020-04-13,1.319,1.396,1.216,565.877,352.695
2020-04-14,1.308,1.393,1.217,598.426,366.916
2020-04-15,1.307,1.389,1.220,632.859,382.663
2020-04-16,1.306,1.384,1.223,668.904,400.007
2020-04-17,1.302,1.384,1.223,706.445,419.020
2020-04-18,1.294,1.373,1.215,745.592,439.756
2020-04-19,1.288,1.377,1.215,786.305,462.234
2020-04-20,1.283,1.367,1.203,828.486,486.500
2020-04-21,1.277,1.359,1.189,872.239,512.581
2020-04-22,1.269,1.366,1.182,917.395,540.499
2020-04-23,1.258,1.336,1.168,963.576,570.221
2020-04-24,1.252,1.339,1.175,1010.772,601.753
2020-04-25,1.247,1.322,1.161,1058.862,635.077
2020-04-26,1.235,1.337,1.166,1107.911,670.160
2020-04-27,1.229,1.304,1.145,1158.091,706.999
2020-04-28,1.221,1.305,1.138,1209.041,745.557
2020-04-29,1.214,1.295,1.137,1260.595,785.778
2020-04-30,1.209,1.278,1.126,1312.739,827.592
2020-05-01,1.198,1.267,1.110,1365.397,870.935
2020-05-02,1.195,1.282,1.128,1418.535,915.695
2020-05-03,1.185,1.265,1.109,1472.123,961.855
2020-05-04,1.184,1.258,1.100,1526.325,1009.333
2020-05-05,1.179,1.260,1.106,1580.561,1058.047
2020-05-06,1.175,1.246,1.080,1634.786,1107.914
2020-05-07,1.166,1.237,1.076,1689.467,1158.850
2020-05-08,1.161,1.242,1.085,1744.731,1210.773
2020-05-09,1.158,1.232,1.073,1800.231,1263.607
2020-05-10,1.154,1.244,1.078,1855.678,1317.294
2020-05-11,1.152,1.228,1.068,1911.254,1371.750
2020-05-12,1.146,1.218,1.058,1967.321,1426.878
2020-05-13,1.146,1.222,1.062,2023.877,1482.611
2020-05-14,1.144,1.219,1.062,2080.740,1538.917
2020-05-15,1.141,1.223,1.064,2138.134,1595.762
2020-05-16,1.143,1.222,1.060,2196.145,1653.088
2020-05-17,1.145,1.230,1.066,2255.039,1710.839
2020-05-18,1.146,1.222,1.066,2315.509,1768.991
2020-05-19,1.147,1.224,1.060,2377.915,1827.545
2020-05-20,1.146,1.228,1.069,2442.243,1886.499
2020-05-21,1.149,1.228,1.069,2508.630,1945.859
2020-05-22,1.155,1.230,1.076,2577.636,2005.648
2020-05-23,1.156,1.234,1.079,2650.297,2065.918
2020-05-24,1.163,1.238,1.087,2727.088,2126.774
2020-05-25,1.169,1.248,1.088,2807.833,2188.373
2020-05-26,1.172,1.253,1.092,2893.100,2250.892
2020-05-27,1.180,1.261,1.099,2983.317,2314.516
2020-05-28,1.184,1.267,1.097,3078.601,2379.456
2020-05-29,1.188,1.274,1.107,3179.999,2445.998
2020-05-30,1.189,1.277,1.117,3287.782,2514.492
2020-05-31,1.191,1.280,1.115,3402.318,2585.284
2020-06-01,1.191,1.278,1.114,3523.341,2658.726
2020-06-02,1.199,1.269,1.104,3649.977,2735.190
2020-06-03,1.197,1.276,1.109,3782.509,2815.039
2020-06-04,1.198,1.290,1.116,3921.359,2898.683
2020-06-05,1.203,1.278,1.108,4066.208,2986.547
2020-06-06,1.200,1.292,1.118,4216.759,3079.062
2020-06-07,1.200,1.283,1.108,4373.781,3176.621
2020-06-08,1.198,1.290,1.125,4536.591,3279.504
2020-06-09,1.198,1.297,1.123,4704.504,3387.920
2020-06-10,1.194,1.285,1.115,4877.732,3502.070
2020-06-11,1.190,1.273,1.107,5057.115,3622.113
2020-06-12,1.190,1.263,1.102,5242.250,3748.149
2020-06-13,1.185,1.272,1.109,5431.440,3880.288
2020-06-14,1.181,1.271,1.104,5623.610,4018.597
2020-06-15,1.178,1.257,1.089,5819.360,4163.067
2020-06-16,1.172,1.247,1.085,6018.639,4313.659
2020-06-17,1.167,1.248,1.080,6219.739,4470.382
2020-06-18,1.156,1.245,1.079,6420.798,4633.243
2020-06-19,1.149,1.216,1.055,6620.259,4802.141
2020-06-20,1.139,1.214,1.056,6816.972,4976.820
2020-06-21,1.133,1.212,1.056,7009.994,5157.004
2020-06-22,1.124,1.209,1.053,7198.169,5342.435
2020-06-23,1.116,1.210,1.053,7381.790,5532.766
2020-06-24,1.107,1.185,1.033,7559.067,5727.477
2020-06-25,1.095,1.176,1.027,7727.828,5925.872
2020-06-26,1.088,1.164,1.016,7886.913,6127.138
2020-06-27,1.077,1.141,0.995,8036.015,6330.382
2020-06-28,1.068,1.138,0.983,8174.597,6534.644
2020-06-29,1.061,1.126,0.985,8301.371,6738.999
2020-06-30,1.053,1.126,0.981,8415.443,6942.499
2020-07-01,1.042,1.119,0.967,8517.162,7144.084
2020-07-02,1.033,1.102,0.952,8606.832,7342.607
2020-07-03,1.023,1.095,0.953,8684.198,7536.939
2020-07-04,1.017,1.089,0.951,8747.126,7726.000
2020-07-05,1.010,1.077,0.942,8793.986,7908.729
2020-07-06,0.995,1.066,0.929,8826.741,8084.063
2020-07-07,0.987,1.053,0.920,8845.102,8251.029
2020-07-08,0.979,1.040,0.909,8846.548,8408.802
2020-07-09,0.974,1.045,0.911,8831.967,8556.678
2020-07-10,0.967,1.040,0.899,8803.160,8693.913
2020-07-11,0.960,1.026,0.892,8762.610,8819.670
2020-07-12,0.948,1.015,0.879,8710.999,8933.253
2020-07-13,0.942,1.011,0.882,8647.587,9034.081
2020-07-14,0.936,1.004,0.875,8570.259,9121.491
2020-07-15,0.929,0.993,0.863,8478.529,9194.868
2020-07-16,0.923,0.991,0.862,8375.358,9253.795
2020-07-17,0.918,0.971,0.853,8262.806,9298.173
2020-07-18,0.910,0.967,0.839,8141.964,9328.147
2020-07-19,0.905,0.973,0.849,8012.666,9343.917
2020-07-20,0.900,0.957,0.834,7875.362,9345.534
2020-07-21,0.894,0.951,0.826,7730.903,9332.962
2020-07-22,0.889,0.950,0.820,7581.078,9306.308
2020-07-23,0.881,0.951,0.828,7426.008,9265.898
2020-07-24,0.880,0.943,0.821,7265.283,9212.238
2020-07-25,0.874,0.935,0.816,7099.348,9145.883
2020-07-26,0.868,0.938,0.818,6929.903,9067.405
2020-07-27,0.867,0.925,0.807,6758.217,8977.394
2020-07-28,0.860,0.920,0.806,6583.713,8876.570
2020-07-29,0.859,0.913,0.801,6407.465,8765.670
2020-07-30,0.854,0.919,0.802,6230.767,8645.364
2020-07-31,0.853,0.905,0.788,6054.679,8516.262
2020-08-01,0.849,0.919,0.797,5879.293,8379.025
2020-08-02,0.848,0.907,0.788,5705.005,8234.377
2020-08-03,0.847,0.904,0.780,5532.497,8083.001
2020-08-04,0.850,0.904,0.786,5362.646,7925.583
2020-08-05,0.849,0.919,0.793,5196.778,7762.857
2020-08-06,0.847,0.912,0.793,5036.402,7595.619
2020-08-07,0.852,0.910,0.790,4881.598,7424.640
2020-08-08,0.851,0.911,0.790,4731.405,7250.654
2020-08-09,0.852,0.906,0.788,4587.095,7074.365
2020-08-10,0.856,0.923,0.803,4449.222,6896.501
2020-08-11,0.861,0.919,0.800,4317.063,6717.842
2020-08-12,0.862,0.918,0.797,4191.031,6539.235
2020-08-13,0.865,0.926,0.805,4071.184,6361.526
2020-08-14,0.869,0.928,0.804,3957.105,6185.438
2020-08-15,0.873,0.938,0.811,3849.063,6011.664
2020-08-16,0.878,0.941,0.817,3747.260,5840.873
2020-08-17,0.886,0.952,0.825,3651.331,5673.635
2020-08-18,0.886,0.941,0.820,3561.204,5510.452
2020-08-19,0.893,0.958,0.836,3476.646,5351.755
2020-08-20,0.898,0.959,0.832,3397.343,5197.876
2020-08-21,0.905,0.965,0.843,3323.340,5049.103
2020-08-22,0.912,0.977,0.848,3254.743,4905.689
2020-08-23,0.919,0.980,0.855,3191.667,4767.815
2020-08-24,0.923,0.991,0.864,3134.239,4635.626
2020-08-25,0.928,0.991,0.866,3081.883,4509.216
2020-08-26,0.934,0.997,0.869,3033.481,4388.612
2020-08-27,0.938,1.019,0.885,2988.841,4273.812
2020-08-28,0.946,1.012,0.878,2948.453,4164.811
2020-08-29,0.952,1.018,0.881,2912.151,4061.609
2020-08-30,0.954,1.025,0.889,2879.250,3964.216
2020-08-31,0.960,1.028,0.894,2849.705,3872.612
2020-09-01,0.962,1.035,0.897,2823.518,3786.682
2020-09-02,0.965,1.024,0.885,2800.406,3706.245
2020-09-03,0.971,1.036,0.898,2779.512,3631.141
2020-09-04,0.971,1.034,0.896,2759.886,3561.220
2020-09-05,0.975,1.045,0.909,2741.989,3496.301
2020-09-06,0.978,1.044,0.908,2726.081,3436.186
2020-09-07,0.980,1.039,0.905,2712.194,3380.684
2020-09-08,0.980,1.045,0.911,2699.923,3329.606
2020-09-09,0.984,1.049,0.911,2688.838,3282.721
2020-09-10,0.985,1.050,0.906,2678.720,3239.713
