state,date,ML,High_90,Low_90
EC,2020-04-11,3.84,6.34,0.78
EC,2020-04-12,3.35,5.12,1.25
EC,2020-04-13,3.13,4.52,1.56
EC,2020-04-14,2.73,3.89,1.46
EC,2020-04-15,2.31,3.30,1.19
EC,2020-04-16,1.92,2.81,0.90
EC,2020-04-17,1.67,2.51,0.74
EC,2020-04-18,1.46,2.24,0.56
EC,2020-04-19,1.44,2.18,0.57
EC,2020-04-20,1.45,2.18,0.64
EC,2020-04-21,1.51,2.19,0.71
EC,2020-04-22,1.53,2.21,0.80
EC,2020-04-23,1.54,2.16,0.80
EC,2020-04-24,1.52,2.12,0.81
EC,2020-04-25,1.45,2.06,0.80
EC,2020-04-26,1.38,1.96,0.73
EC,2020-04-27,1.26,1.83,0.62
EC,2020-04-28,1.18,1.74,0.54
EC,2020-04-29,1.15,1.71,0.52
EC,2020-04-30,1.14,1.69,0.50
EC,2020-05-01,1.18,1.73,0.55
EC,2020-05-02,1.20,1.75,0.58
EC,2020-05-03,1.18,1.73,0.57
EC,2020-05-04,1.20,1.74,0.59
EC,2020-05-05,1.20,1.74,0.60
EC,2020-05-06,1.30,1.82,0.69
EC,2020-05-07,1.47,2.00,0.90
EC,2020-05-08,1.68,2.17,1.10
EC,2020-05-09,1.86,2.35,1.34
EC,2020-05-10,1.85,2.30,1.34
EC,2020-05-11,1.67,2.10,1.18
EC,2020-05-12,1.49,1.93,1.04
EC,2020-05-13,1.34,1.75,0.87
EC,2020-05-14,1.25,1.65,0.77
EC,2020-05-15,1.28,1.70,0.83
EC,2020-05-16,1.32,1.72,0.85
EC,2020-05-17,1.34,1.73,0.87
EC,2020-05-18,1.29,1.68,0.83
EC,2020-05-19,1.22,1.61,0.77
EC,2020-05-20,1.16,1.55,0.71
EC,2020-05-21,1.17,1.55,0.71
EC,2020-05-22,1.15,1.55,0.72
EC,2020-05-23,1.14,1.53,0.70
EC,2020-05-24,1.16,1.54,0.71
EC,2020-05-25,1.24,1.63,0.81
EC,2020-05-26,1.41,1.79,0.98
EC,2020-05-27,1.56,1.92,1.13
EC,2020-05-28,1.62,1.97,1.21
EC,2020-05-29,1.57,1.91,1.17
EC,2020-05-30,1.45,1.77,1.05
EC,2020-05-31,1.31,1.63,0.92
EC,2020-06-01,1.30,1.63,0.93
EC,2020-06-02,1.36,1.70,1.01
EC,2020-06-03,1.51,1.83,1.15
EC,2020-06-04,1.60,1.90,1.24
EC,2020-06-05,1.61,1.90,1.26
EC,2020-06-06,1.57,1.86,1.24
EC,2020-06-07,1.51,1.79,1.18
EC,2020-06-08,1.52,1.80,1.21
EC,2020-06-09,1.62,1.89,1.31
EC,2020-06-10,1.70,1.96,1.40
EC,2020-06-11,1.78,2.02,1.48
EC,2020-06-12,1.72,1.96,1.44
EC,2020-06-13,1.53,1.76,1.25
EC,2020-06-14,1.40,1.63,1.13
EC,2020-06-15,1.25,1.47,0.97
EC,2020-06-16,1.23,1.45,0.95
EC,2020-06-17,1.36,1.59,1.10
EC,2020-06-18,1.48,1.70,1.22
EC,2020-06-19,1.60,1.81,1.34
EC,2020-06-20,1.64,1.85,1.40
EC,2020-06-21,1.54,1.74,1.30
EC,2020-06-22,1.47,1.66,1.23
EC,2020-06-23,1.41,1.60,1.18
EC,2020-06-24,1.40,1.58,1.16
EC,2020-06-25,1.42,1.60,1.19
EC,2020-06-26,1.35,1.54,1.14
EC,2020-06-27,1.28,1.46,1.06
EC,2020-06-28,1.21,1.38,0.98
EC,2020-06-29,1.10,1.29,0.90
EC,2020-06-30,1.06,1.24,0.84
EC,2020-07-01,1.04,1.21,0.81
EC,2020-07-02,1.06,1.23,0.83
EC,2020-07-03,1.09,1.28,0.89
FS,2020-05-29,2.28,4.74,0.00
FS,2020-05-30,2.17,3.88,0.07
FS,2020-05-31,1.91,3.34,0.15
FS,2020-06-01,1.65,2.92,0.17
FS,2020-06-02,1.40,2.52,0.10
FS,2020-06-03,1.16,2.17,0.03
FS,2020-06-04,1.14,2.10,0.05
FS,2020-06-05,1.12,2.03,0.05
FS,2020-06-06,1.11,1.99,0.07
FS,2020-06-07,1.10,1.95,0.08
FS,2020-06-08,1.14,1.98,0.12
FS,2020-06-09,1.13,1.92,0.10
FS,2020-06-10,1.16,1.96,0.16
FS,2020-06-11,1.28,2.09,0.30
FS,2020-06-12,1.37,2.17,0.43
FS,2020-06-13,1.55,2.33,0.67
FS,2020-06-14,1.64,2.38,0.81
FS,2020-06-15,1.67,2.35,0.86
FS,2020-06-16,1.60,2.28,0.87
FS,2020-06-17,1.53,2.15,0.79
FS,2020-06-18,1.42,2.06,0.75
FS,2020-06-19,1.35,1.96,0.68
FS,2020-06-20,1.32,1.90,0.64
