state,date,ML,High_90,Low_90
CW-BV,2020-05-23,2.17,4.55,0.0
CW-BV,2020-05-24,1.82,3.49,0.0
CW-BV,2020-05-25,1.53,2.92,0.03
CW-BV,2020-05-26,1.26,2.47,0.0
CW-BV,2020-05-27,1.11,2.21,0.0
CW-DS,2020-05-16,2.69,4.94,0.03
CW-DS,2020-05-17,2.2800000000000002,3.98,0.24
CW-DS,2020-05-18,2.1,3.54,0.41000000000000003
CW-DS,2020-05-19,1.68,2.9,0.26
CW-DS,2020-05-20,1.53,2.62,0.24
CW-DS,2020-05-21,1.6500000000000001,2.68,0.45
CW-DS,2020-05-22,1.82,2.77,0.72
CW-DS,2020-05-23,1.9000000000000001,2.8000000000000003,0.9500000000000001
CW-DS,2020-05-24,2.0100000000000002,2.82,1.1500000000000001
CW-DS,2020-05-25,1.96,2.66,1.1300000000000001
CW-DS,2020-05-26,1.8800000000000001,2.5500000000000003,1.1500000000000001
CW-DS,2020-05-27,1.77,2.37,1.06
CW-SB,2020-05-26,1.61,4.18,0.0
CW-SB,2020-05-27,1.3,3.15,0.0
CW-WB,2020-04-20,2.2800000000000002,5.76,0.0
CW-WB,2020-04-21,2.17,4.55,0.0
CW-WB,2020-04-22,2.08,3.96,0.02
CW-WB,2020-04-23,2.0,3.65,0.11
CW-WB,2020-04-24,1.93,3.41,0.18
CW-WB,2020-04-25,1.8800000000000001,3.2800000000000002,0.32
CW-WB,2020-04-26,1.71,2.97,0.27
CW-WB,2020-04-27,1.5,2.61,0.14
CW-WB,2020-04-28,1.35,2.39,0.1
CW-WB,2020-04-29,1.24,2.21,0.06
CW-WB,2020-04-30,1.1400000000000001,2.06,0.02
CW-WB,2020-05-01,1.06,1.96,0.02
CW-WB,2020-05-02,1.06,1.94,0.03
CW-WB,2020-05-03,0.99,1.84,0.0
CW-WB,2020-05-04,0.93,1.77,0.0
CW-WB,2020-05-05,0.99,1.81,0.0
CW-WB,2020-05-06,0.99,1.81,0.02
CW-WB,2020-05-07,0.99,1.81,0.04
CW-WB,2020-05-08,1.05,1.84,0.04
CW-WB,2020-05-09,1.04,1.82,0.04
CW-WB,2020-05-10,1.04,1.81,0.05
CW-WB,2020-05-11,1.04,1.81,0.07
CW-WB,2020-05-12,1.04,1.81,0.09
CW-WB,2020-05-13,1.04,1.84,0.14
CW-WB,2020-05-14,1.04,1.79,0.1
CW-WB,2020-05-15,0.99,1.73,0.08
CW-WB,2020-05-16,0.99,1.72,0.08
CW-WB,2020-05-17,0.9500000000000001,1.6500000000000001,0.04
CW-WB,2020-05-18,0.9500000000000001,1.6600000000000001,0.06
CW-WB,2020-05-19,0.91,1.6,0.03
CW-WB,2020-05-20,0.91,1.6,0.03
CW-WB,2020-05-21,0.88,1.55,0.01
CW-WB,2020-05-22,0.88,1.55,0.01
CW-WB,2020-05-23,0.92,1.59,0.02
CW-WB,2020-05-24,0.92,1.62,0.06
CW-WB,2020-05-25,0.92,1.61,0.05
CW-WB,2020-05-26,0.92,1.6,0.04
CW-WB,2020-05-27,0.92,1.6,0.04
