state,date,ML,High_90,Low_90
GR-GE,2020-05-24,0.08,5.1000000000000005,0.0
GR-GE,2020-05-25,0.09,3.96,0.0
GR-GE,2020-05-26,0.1,3.15,0.0
GR-GE,2020-05-27,0.1,2.72,0.0
GR-GE,2020-05-28,0.11,2.61,0.0
GR-GE,2020-05-29,0.11,2.35,0.0
GR-KN,2020-05-16,0.08,7.1000000000000005,0.0
GR-KN,2020-05-17,0.09,4.8100000000000005,0.0
GR-KN,2020-05-18,0.09,4.48,0.0
GR-KN,2020-05-19,0.1,4.23,0.0
GR-KN,2020-05-20,0.11,4.03,0.0
GR-KN,2020-05-21,0.12,4.29,0.0
GR-KN,2020-05-22,1.67,4.34,0.0
GR-KN,2020-05-23,2.0,4.24,0.01
GR-KN,2020-05-24,1.78,3.79,0.01
GR-KN,2020-05-25,1.32,3.25,0.0
GR-KN,2020-05-26,1.28,3.1,0.0
GR-KN,2020-05-27,1.0,2.79,0.0
GR-KN,2020-05-28,1.0,2.73,0.0
GR-KN,2020-05-29,0.77,2.52,0.0
