state,date,ML,High_90,Low_90
OB-OS,2020-05-24,0.08,7.1000000000000005,0.0
OB-OS,2020-05-25,0.09,5.54,0.0
OB-OS,2020-05-26,0.1,4.7700000000000005,0.0
OB-OS,2020-05-27,0.11,4.29,0.0
OB-OS,2020-05-28,0.11,3.95,0.0
OB-OS,2020-05-29,1.0,3.7,0.0
OB-TK,2020-05-14,0.08,7.1000000000000005,0.0
OB-TK,2020-05-15,0.09,5.54,0.0
OB-TK,2020-05-16,0.1,4.7700000000000005,0.0
OB-TK,2020-05-17,0.11,4.29,0.0
OB-TK,2020-05-18,0.11,3.95,0.0
OB-TK,2020-05-19,0.11,3.38,0.0
OB-TK,2020-05-20,0.12,3.3000000000000003,0.0
OB-TK,2020-05-21,1.0,3.5100000000000002,0.0
OB-TK,2020-05-22,1.43,3.61,0.0
OB-TK,2020-05-23,1.36,3.38,0.0
OB-TK,2020-05-24,1.61,3.41,0.0
OB-TK,2020-05-25,1.77,3.41,0.04
OB-TK,2020-05-26,1.6500000000000001,3.15,0.01
OB-TK,2020-05-27,1.3800000000000001,2.82,0.0
OB-TK,2020-05-28,1.34,2.72,0.01
OB-TK,2020-05-29,1.31,2.63,0.01
