state,date,ML,High_90,Low_90
WC-SB,2020-05-16,0.08,7.1000000000000005,0.0
WC-SB,2020-05-17,0.09,5.54,0.0
WC-SB,2020-05-18,0.1,4.7700000000000005,0.0
WC-SB,2020-05-19,0.11,4.29,0.0
WC-SB,2020-05-20,0.11,3.95,0.0
WC-SB,2020-05-21,1.0,3.7,0.0
WC-SL,2020-05-10,0.08,7.1000000000000005,0.0
WC-SL,2020-05-11,0.09,5.54,0.0
WC-SL,2020-05-12,0.1,4.7700000000000005,0.0
WC-SL,2020-05-13,0.11,4.29,0.0
WC-SL,2020-05-14,0.11,3.95,0.0
WC-SL,2020-05-15,0.11,3.38,0.0
WC-SL,2020-05-16,0.12,3.3000000000000003,0.0
WC-SL,2020-05-17,0.12,3.22,0.0
WC-SL,2020-05-18,0.12,3.15,0.0
WC-SL,2020-05-19,0.13,3.09,0.0
WC-SL,2020-05-20,0.13,3.0300000000000002,0.0
WC-SL,2020-05-21,0.13,2.98,0.0
