date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN,total,source
17-04-2020,20200417,9,71,479,96,18,9,10,6,205,0,903,https://twitter.com/nicd_sa/status/1251215194765832194/photo/1
18-04-2020,20200418,9,71,479,96,18,9,10,6,205,0,903,https://twitter.com/nicd_sa/status/1251595223534362625/photo/1
19-04-2020,20200419,9,71,479,96,18,9,10,6,205,0,903,https://twitter.com/nicd_sa/status/1251927055224143875/photo/1
20-04-2020,20200420,15,74,545,151,21,14,13,6,216,0,1055,https://twitter.com/nicd_sa/status/1252309824412561408/photo/1
21-04-2020,20200421,15,74,545,151,21,14,13,6,216,0,1055,https://twitter.com/nicd_sa/status/1252643555690061824/photo/1
22-04-2020,20200422,15,74,545,151,21,14,13,6,216,0,1055,https://twitter.com/nicd_sa/status/1253033502930604032/photo/1
23-04-2020,20200423,19,76,843,241,24,15,13,6,236,0,1473,https://twitter.com/nicd_sa/status/1253374043111272450/photo/1
24-04-2020,20200424,19,76,843,241,24,15,13,6,236,0,1473,https://twitter.com/nicd_sa/status/1253769210301427713/photo/1
25-04-2020,20200425,19,76,843,241,24,15,13,6,236,0,1473,https://twitter.com/nicd_sa/status/1254115548125900800/photo/1
26-04-2020,20200426,19,76,843,241,24,15,13,6,236,0,1473,https://twitter.com/nicd_sa/status/1254483257514692610/photo/1
27-04-2020,20200427,19,76,843,241,24,15,13,6,236,0,1473,https://twitter.com/nicd_sa/status/1254860200126738432/photo/1
28-04-2020,20200428,19,76,843,241,24,15,13,6,236,0,1473,https://twitter.com/nicd_sa/status/1255208067551170564/photo/1
02-05-2020,20200205,275,96,948,375,25,18,20,13,779,0,2549,https://twitter.com/nicd_sa/status/1256648954743345152/photo/1
03-05-2020,20200305,275,96,948,375,25,18,20,13,779,0,2549,https://twitter.com/nicd_sa/status/1257006165889880069/photo/1
04-05-2020,20200405,341,96,979,415,27,22,20,13,833,0,2746,https://twitter.com/nicd_sa/status/1257381526964187137/photo/1
05-05-2020,20200505,341,96,979,415,27,22,20,13,833,0,2746,https://twitter.com/nicd_sa/status/1257760876435734528/photo/1
06-05-2020,20200605,388,102,1036,420,27,22,20,16,1122,0,3153,https://twitter.com/nicd_sa/status/1258133447106801666/photo/1
07-05-2020,20200705,388,102,1036,420,27,22,20,16,1122,0,3153,https://twitter.com/nicd_sa/status/1258467153717714947/photo/1
08-05-2020,20200805,388,102,1036,420,27,22,20,16,1122,0,3153,https://twitter.com/nicd_sa/status/1258851899979239424/photo/1
10-05-2020,20201005,519,105,1247,606,28,22,23,16,1607,0,4173,https://twitter.com/nicd_sa/status/1259559705581625345/photo/1
13-05-2020,20200513,632,107,1343,618,30,24,24,17,1950,0,4745,https://twitter.com/nicd_sa/status/1260674090282684417/photo/1
14-05-2020,20200514,643,108,1547,689,35,34,28,19,2573,0,5676,https://twitter.com/nicd_sa/status/1260981356328337414/photo/1
15-05-2020,20200515,643,108,1552,795,36,44,20,28,2857,0,6083,https://twitter.com/nicd_sa/status/1261360621804806145/photo/1
16-05-2020,20200516,746,108,1583,806,37,49,24,28,3097,0,6478,https://twitter.com/nicd_sa/status/1261738963716489219/photo/1
17-05-2020,20200517,839,108,1583,817,37,49,24,28,3521,0,7006,https://twitter.com/nicd_sa/status/1262110389111791617/photo/1
18-05-2020,20200518,839,108,1657,818,37,53,27,28,3731,0,7298,https://twitter.com/nicd_sa/status/1262476267405946883/photo/1
19-05-2020,20200519,839,118,1671,818,39,57,27,28,4363,0,7960,https://twitter.com/nicd_sa/status/1262827841550528517/photo/1
20-05-2020,20200520,1036,118,1694,842,42,58,27,28,5105,0,8950,https://twitter.com/nicd_sa/status/1263182934594420736/photo/1
21-05-2020,20200521,1036,118,1694,842,42,58,27,28,5105,0,8950,https://twitter.com/nicd_sa/status/1263466016874680322/photo/1
22-05-2020,20200522,1036,121,1776,880,51,58,27,29,6126,0,10104,https://twitter.com/nicd_sa/status/1263892865769504768/photo/1
23-05-2020,20200523,1036,121,1776,880,51,58,27,29,6126,0,10104,https://twitter.com/nicd_sa/status/1264277822891327489/photo/1
24-05-2020,20200524,1335,121,1840,1111,53,58,28,29,6525,0,11100,https://twitter.com/nicd_sa/status/1264637660045377540/photo/1
