date,YYYYMMDD,confirmed,tests,deaths,recovered,active,confirmed_div_by_tests,deaths_div_by_confirmed,recovered_div_by_confirmed,confirmed_per_mil,tests_per_mil,deaths_per_mil,recovered_per_mil,active_per_mil
11-02-2020,20200211,0,61,0,0,0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0
13-02-2020,20200213,0,67,0,0,0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0
14-02-2020,20200214,0,71,0,0,0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
19-02-2020,20200219,0,95,0,0,0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0
20-02-2020,20200220,0,106,0,0,0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0
24-02-2020,20200224,0,116,0,0,0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0
26-02-2020,20200226,0,121,0,0,0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0
02-03-2020,20200302,0,160,0,0,0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0
03-03-2020,20200303,0,164,0,0,0,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0
05-03-2020,20200305,1,164,0,0,1,0.006,0.0,0.0,0.02,2.77,0.0,0.0,0.02
06-03-2020,20200306,1,200,0,0,1,0.005,0.0,0.0,0.02,3.38,0.0,0.0,0.02
07-03-2020,20200307,2,241,0,0,2,0.008,0.0,0.0,0.03,4.07,0.0,0.0,0.03
08-03-2020,20200308,3,241,0,0,3,0.012,0.0,0.0,0.05,4.07,0.0,0.0,0.05
09-03-2020,20200309,7,241,0,0,7,0.029,0.0,0.0,0.12,4.07,0.0,0.0,0.12
11-03-2020,20200311,13,645,0,0,13,0.02,0.0,0.0,0.22,10.9,0.0,0.0,0.22
12-03-2020,20200312,16,848,0,0,16,0.019,0.0,0.0,0.27,14.33,0.0,0.0,0.27
13-03-2020,20200313,24,924,0,0,24,0.026,0.0,0.0,0.41,15.61,0.0,0.0,0.41
14-03-2020,20200314,38,1017,0,0,38,0.037,0.0,0.0,0.64,17.18,0.0,0.0,0.64
15-03-2020,20200315,51,1476,0,0,51,0.035,0.0,0.0,0.86,24.93,0.0,0.0,0.86
16-03-2020,20200316,62,2405,0,0,62,0.026,0.0,0.0,1.05,40.63,0.0,0.0,1.05
17-03-2020,20200317,85,2911,0,0,85,0.029,0.0,0.0,1.44,49.18,0.0,0.0,1.44
18-03-2020,20200318,116,3070,0,0,116,0.038,0.0,0.0,1.96,51.86,0.0,0.0,1.96
19-03-2020,20200319,150,4832,0,0,150,0.031,0.0,0.0,2.53,81.63,0.0,0.0,2.53
20-03-2020,20200320,202,6438,0,0,202,0.031,0.0,0.0,3.41,108.76,0.0,0.0,3.41
21-03-2020,20200321,240,7425,0,0,240,0.032,0.0,0.0,4.05,125.43,0.0,0.0,4.05
22-03-2020,20200322,274,9315,0,1,273,0.029,0.0,0.004,4.63,157.36,0.0,0.02,4.61
23-03-2020,20200323,402,12815,0,1,401,0.031,0.0,0.002,6.79,216.49,0.0,0.02,6.77
24-03-2020,20200324,554,15529,0,2,552,0.036,0.0,0.004,9.36,262.33,0.0,0.03,9.32
25-03-2020,20200325,709,15529,0,4,705,0.046,0.0,0.006,11.98,262.33,0.0,0.07,11.91
26-03-2020,20200326,927,20471,0,4,923,0.045,0.0,0.004,15.66,345.82,0.0,0.07,15.59
27-03-2020,20200327,1170,28537,1,31,1138,0.041,0.001,0.026,19.76,482.08,0.02,0.52,19.22
28-03-2020,20200328,1187,31963,2,31,1154,0.037,0.002,0.026,20.05,539.95,0.03,0.52,19.49
29-03-2020,20200329,1280,35593,2,31,1247,0.036,0.002,0.024,21.62,601.28,0.03,0.52,21.07
30-03-2020,20200330,1326,38409,3,31,1292,0.035,0.002,0.023,22.4,648.85,0.05,0.52,21.83
31-03-2020,20200331,1353,41072,5,31,1317,0.033,0.004,0.023,22.86,693.83,0.08,0.52,22.25
01-04-2020,20200401,1380,44292,5,31,1344,0.031,0.004,0.022,23.31,748.23,0.08,0.52,22.7
02-04-2020,20200402,1462,47965,5,45,1412,0.03,0.003,0.031,24.7,810.28,0.08,0.76,23.85
03-04-2020,20200403,1505,50361,9,45,1451,0.03,0.006,0.03,25.42,850.75,0.15,0.76,24.51
04-04-2020,20200404,1585,53937,9,45,1531,0.029,0.006,0.028,26.78,911.16,0.15,0.76,25.86
05-04-2020,20200405,1655,56873,11,45,1599,0.029,0.007,0.027,27.96,960.76,0.19,0.76,27.01
06-04-2020,20200406,1686,58098,12,45,1629,0.029,0.007,0.027,28.48,981.46,0.2,0.76,27.52
07-04-2020,20200407,1749,58098,13,45,1691,0.03,0.007,0.026,29.55,981.46,0.22,0.76,28.57
08-04-2020,20200408,1845,63776,18,45,1782,0.029,0.01,0.024,31.17,1077.38,0.3,0.76,30.1
09-04-2020,20200409,1934,68874,18,45,1871,0.028,0.009,0.023,32.67,1163.5,0.3,0.76,31.61
10-04-2020,20200410,2003,73028,24,410,1569,0.027,0.012,0.205,33.84,1233.67,0.41,6.93,26.51
11-04-2020,20200411,2028,75053,25,410,1593,0.027,0.012,0.202,34.26,1267.88,0.42,6.93,26.91
12-04-2020,20200412,2173,80085,25,410,1738,0.027,0.012,0.189,36.71,1352.88,0.42,6.93,29.36
13-04-2020,20200413,2272,83663,27,410,1835,0.027,0.012,0.18,38.38,1413.33,0.46,6.93,31.0
14-04-2020,20200414,2415,87022,27,410,1978,0.028,0.011,0.17,40.8,1470.07,0.46,6.93,33.41
15-04-2020,20200415,2506,90515,34,410,2062,0.028,0.014,0.164,42.33,1529.08,0.57,6.93,34.83
16-04-2020,20200416,2605,95060,48,903,1654,0.027,0.018,0.347,44.01,1605.86,0.81,15.25,27.94
17-04-2020,20200417,2783,100827,50,903,1830,0.028,0.018,0.324,47.01,1703.28,0.84,15.25,30.91
18-04-2020,20200418,3034,108201,52,903,2079,0.028,0.017,0.298,51.25,1827.85,0.88,15.25,35.12
19-04-2020,20200419,3158,114711,54,903,2201,0.028,0.017,0.286,53.35,1937.83,0.91,15.25,37.18
20-04-2020,20200420,3300,121510,58,1055,2187,0.027,0.018,0.32,55.75,2052.68,0.98,17.82,36.95
21-04-2020,20200421,3465,126937,58,1055,2352,0.027,0.017,0.304,58.53,2144.36,0.98,17.82,39.73
