date,YYYYMMDD,vaccinations_sisonke,vaccinations_phase_2,vaccinations,source
18-02-2021,20210218,2260,,2260,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-18-feb-2021/
19-02-2021,20210219,6524,,6524,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-19-feb-2021/
20-02-2021,20210220,10414,,10414,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-20-feb-2021/
21-02-2021,20210221,15388,,15388,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-21-feb-2021/
22-02-2021,20210222,23059,,23059,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-22-feb-2021/
23-02-2021,20210223,32315,,32315,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-23-feb-2021/
24-02-2021,20210224,41809,,41809,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-24-feb-2021/
25-02-2021,20210225,52647,,52647,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-25-feb-2021/
26-02-2021,20210226,63648,,63648,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-26-feb-2021/
27-02-2021,20210227,67303,,67303,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-27-feb-2021/
28-02-2021,20210228,70527,,70527,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-28-feb-2021/
01-03-2021,20210301,73047,,73047,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-1-mar-2021/
02-03-2021,20210302,76037,,76037,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-2-mar-2021/
03-03-2021,20210303,83570,,83570,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-3-mar-2021/
