OBJECTID,PROVINCE,CATEGORY,CAT2,CAT_B,MUNICNAME,NAMECODE,MAP_TITLE,DISTRICT,DISTRICT_N,DATE
1,EC,B,Local Municipality,EC101,Dr Beyers Naude,Dr Beyers Naude (EC101),Dr Beyers Naude Local Municipality,DC10,Sarah Baartman,2019/06/25
2,EC,B,Local Municipality,EC104,Makana,Makana (EC104),Makana Local Municipality,DC10,Sarah Baartman,2019/06/25
3,EC,B,Local Municipality,EC105,Ndlambe,Ndlambe (EC105),Ndlambe Local Municipality,DC10,Sarah Baartman,2019/06/25
4,EC,B,Local Municipality,EC121,Mbhashe,Mbhashe (EC121),Mbhashe Local Municipality,DC12,Amathole,2019/06/25
5,EC,B,Local Municipality,EC122,Mnquma,Mnquma (EC122),Mnquma Local Municipality,DC12,Amathole,2019/06/25
6,EC,B,Local Municipality,EC131,Inxuba Yethemba,Inxuba Yethemba (EC131),Inxuba Yethemba Local Municipality,DC13,Chris Hani,2019/06/25
7,EC,B,Local Municipality,EC137,Engcobo,Engcobo (EC137),Engcobo Local Municipality,DC13,Chris Hani,2019/06/25
8,EC,B,Local Municipality,EC141,Elundini,Elundini (EC141),Elundini Local Municipality,DC14,Joe Gqabi,2019/06/25
9,EC,B,Local Municipality,EC142,Senqu,Senqu (EC142),Senqu Local Municipality,DC14,Joe Gqabi,2019/06/25
10,EC,B,Local Municipality,EC153,Ngquza Hill,Ngquza Hill (EC153),Ngquza Hill Local Municipality,DC15,O.R.Tambo,2019/06/25
11,EC,B,Local Municipality,EC154,Port St Johns,Port St Johns (EC154),Port St Johns Local Municipality,DC15,O.R.Tambo,2019/06/25
12,EC,B,Local Municipality,EC155,Nyandeni,Nyandeni (EC155),Nyandeni Local Municipality,DC15,O.R.Tambo,2019/06/25
13,EC,B,Local Municipality,EC156,Mhlontlo,Mhlontlo (EC156),Mhlontlo Local Municipality,DC15,O.R.Tambo,2019/06/25
14,EC,B,Local Municipality,EC157,King Sabata Dalindyebo,King Sabata Dalindyebo (EC157),King Sabata Dalindyebo Local Municipality,DC15,O.R.Tambo,2019/06/25
15,EC,B,Local Municipality,EC441,Matatiele,Matatiele (EC441),Matatiele Local Municipality,DC44,Alfred Nzo,2019/06/25
16,FS,B,Local Municipality,FS161,Letsemeng,Letsemeng (FS161),Letsemeng Local Municipality,DC16,Xhariep,2019/06/25
17,FS,B,Local Municipality,FS162,Kopanong,Kopanong (FS162),Kopanong Local Municipality,DC16,Xhariep,2019/06/25
18,FS,B,Local Municipality,FS163,Mohokare,Mohokare (FS163),Mohokare Local Municipality,DC16,Xhariep,2019/06/25
19,FS,B,Local Municipality,FS181,Masilonyana,Masilonyana (FS181),Masilonyana Local Municipality,DC18,Lejweleputswa,2019/06/25
20,FS,B,Local Municipality,FS182,Tokologo,Tokologo (FS182),Tokologo Local Municipality,DC18,Lejweleputswa,2019/06/25
21,FS,B,Local Municipality,FS183,Tswelopele,Tswelopele (FS183),Tswelopele Local Municipality,DC18,Lejweleputswa,2019/06/25
22,FS,B,Local Municipality,FS184,Matjhabeng,Matjhabeng (FS184),Matjhabeng Local Municipality,DC18,Lejweleputswa,2019/06/25
23,FS,B,Local Municipality,FS185,Nala,Nala (FS185),Nala Local Municipality,DC18,Lejweleputswa,2019/06/25
24,FS,B,Local Municipality,FS191,Setsoto,Setsoto (FS191),Setsoto Local Municipality,DC19,Thabo Mofutsanyane,2019/06/25
25,FS,B,Local Municipality,FS192,Dihlabeng,Dihlabeng (FS192),Dihlabeng Local Municipality,DC19,Thabo Mofutsanyane,2019/06/25
