Province,District_level,Data_title,Data_type,Friendly_title,Cat,District,Order,Data_file,Notes
GP,1,Ekurhuleni	Cases,Cases,Ekurhuleni,EKU,,1,provincial_gp_cumulative,
GP,1,Ekurhuleni	Deaths,Deaths,Ekurhuleni,EKU,,1,gp_ekurhuleni,
GP,1,Johannesburg	Cases,Case,Johannesburg Deaths,JHB,,2,provincial_gp_cumulative,
GP,1,Johannesburg	Deaths,Deaths,Johannesburg Deaths,JHB,,2,gp_johannesburg,
GP,1,Sedibeng	Cases,Case,Sedibeng,DC42,,3,provincial_gp_cumulative,
GP,1,Sedibeng	Deaths,Deaths,Sedibeng Deaths,DC42,,2,gp_sedibeng,
GP,1,Tshwane	Cases,Case,Tshwane,TSH,,4,provincial_gp_cumulative,
GP,1,Tshwane	Deaths,Deaths,Tshwane Deaths,TSH,,4,gp_tshwane
GP,1,West Rand	Cases,Case,West Rand,DC48,,5,provincial_gp_cumulative,
GP,1,West Rand	Deaths,Deaths,West Rand Deaths,DC48,,5,gp_westrand
GP,0,GP Unallocated	Cases,Case,Gauteng Unknown,,,6,provincial_gp_cumulative,
GP,0,GP	Cases,Case,Gauteng,,,7,provincial_gp_cumulative,
GP,0,GP	Deaths,Case,Gauteng Deaths,,,7,provincial_gp_cumulative,
GP,0,GP	Recoveries,Recovery,Gauteng Recoveries,,,8,provincial_gp_cumulative,
GP,0,GP	Hospitalisations,Hospital,Gauteng Hospitalisations,,,9,provincial_gp_cumulative,
GP,1,Ekurhuleni	Cases,Cases,Ekurhuleni,,,1,gp_ekurhuleni,
GP,1,Ekurhuleni	Recoveries,Recovery,Ekurhuleni Recoveries,,,2,gp_ekurhuleni,
GP,2,Ekurhuleni East 1	Cases,Case,Ekurhuleni East 1,,EKU,3,gp_ekurhuleni,Brakpan	Daveyton	Tsakane	Etwatwa
GP,2,Ekurhuleni East 2	Cases,Case,Ekurhuleni East 2,,EKU,4,gp_ekurhuleni,Springs	Duduza	Kwa-Thema	Nigel
GP,2,Ekurhuleni North 1	Cases,Case,Ekurhuleni North 1,,EKU,5,gp_ekurhuleni,Birchleigh	Birchleigh North	Bonaero Park	Crystal Park	Erin	Ethafeni	Kempton Park	Olifantsfontein	Tembisa	Winnie Mandela
GP,2,Ekurhuleni North 2	Cases,Case,Ekurhuleni North 2,,EKU,6,gp_ekurhuleni,Bedfordview	Boksburg   Chief Albert Luthuli	Dan Khubeka	Edenvale	Endayeni	Esangweni	Itireleng	Kemston	Lethabong	Ramaphosa	Reiger Park	Van Dyk Park
GP,2,Ekurhuleni South 1	Cases,Case,Ekurhuleni South 1,,EKU,7,gp_ekurhuleni,Alberton	Brackenhurst	 Eden Park	Primrose	Germiston	Leondale	Dawn Park	Tswelepele	Vosloorus		Villa Liza
GP,2,Ekurhuleni South 2	Cases,Case,Ekurhuleni South 2,,EKU,8,gp_ekurhuleni,Thokoka	Greenfields	 Kathlehong	Molekeli	Zonkizizwe	Palm Ridge	Molekeli	Tsietsi Sunrise View			Tamaho	Motsamai
GP,2,Ekurhuleni Unallocated	Cases,Case,Ekurhuleni Unknown,,EKU,9,gp_ekurhuleni,
GP,1,Johannesburg	Cases,Case,Johannesburg,,JHB,1,gp_johannesburg,
GP,1,Johannesburg	Recoveries,Recovery,Johannesburg Recoveries,,JHB,2,gp_johannesburg,
GP,2,Johannesburg A	Cases,Case,Johannesburg A,,JHB,3,gp_johannesburg,Diepsloot     KyaSands	Dainfern	Midrand
GP,2,Johannesburg B	Cases,Case,Johannesburg B,,JHB,4,gp_johannesburg,Randburg	     Rosebank	Emmarentia	Greenside	Melville	Mayfair		Northcliff	Parktown	Parktown North
GP,2,Johannesburg C	Cases,Case,Johannesburg C,,JHB,5,gp_johannesburg,Roodepoort	 Constantia Kloof	 Northgate	 Florida	 Bram Fischerville
GP,2,Johannesburg D	Cases,Case,Johannesburg D,,JHB,6,gp_johannesburg,Doornkop	 Soweto	 Dobsonville	 Protea Glen
GP,2,Johannesburg E	Cases,Case,Johannesburg E,,JHB,7,gp_johannesburg,Alexandra	 Wynberg	 Sandton	 Orange Grove	 Houghton
GP,2,Johannesburg F	Cases,Case,Johannesburg F,,JHB,8,gp_johannesburg,Inner City	 Johannesburg South
GP,2,Johannesburg G	Cases,Case,Johannesburg G,,JHB,9,gp_johannesburg,Orange Farm    Weilers Farm	Ennerdale	Lenasia	Eldorado Park	Protea South
GP,2,Johannesburg Unallocated	Cases,Case,Johannesburg Unknown,,JHB,10,gp_johannesburg,
GP,1,Tshwane	Cases,Case,Tshwane,,,1,gp_tshwane,
GP,1,Tshwane	Recoveries,Recovery,Tshwane Recoveries,,,2,gp_tshwane,
GP,2,Tshwane 1	Cases,Case,Tshwane 1,,TSH,3,gp_tshwane,Ga-Rankuwe	Mabopane Winterveldt	Shoshanguve	Rosslyn	Karenpark	Wonderboom	Akasia	Nina Park	Orchards	Amandesig	Thereza Park	Pretoria North
GP,2,Tshwane 2	Cases,Case,Tshwane 2,,TSH,4,gp_tshwane,Hammanskraal	Temba	Suurman	Dilopye	Stinkwater	Ramotse	New Eersterus	Kameeldrift	Pyramid/Rooiwal	Doornpoort	Kekana Gardens	Kekanastad	Marokolong	Randstown	Kanana
GP,2,Tshwane 3	Cases,Case,Tshwane 3,,TSH,5,gp_tshwane,Atteridgeville	Laudium	Pretoria CBD	Hercules	Danville   Saulsville     Lotus	  Pretoria West
GP,2,Tshwane 4	Cases,Case,Tshwane 4,,TSH,6,gp_tshwane,Lyttelton	Eldoraigne	Waterkloof Olievenhoutsbosch	      Rooihuiskraal	Silverton	Centurion	Brooklyn and Hatfield
GP,2,Tshwane 5	Cases,Case,Tshwane 5,,TSH,7,gp_tshwane,East Lynne	Rayton	Cullinan	De Wagensdrift	Refilwe	Onverwacht
GP,2,Tshwane 6	Cases,Case,Tshwane 6,,TSH,8,gp_tshwane,Eersterust	Lethabong	Mamelodi	Silverlakes	Garsfontein	Lynnwood	Queenswood	Wilgers	Waltloo	Equestria	Mooikloof	Brummeria
GP,2,Tshwane 7	Cases,Case,Tshwane 7,,TSH,9,gp_tshwane,Ekangala	Sokhulumi	Dark City	Zithobeni	Bronkhorstspruit	Kanana	Rethabiseng
GP,2,Tshwane Unallocated	Cases,Case,Tshwane Unknown,,TSH,10,gp_tshwane,
GP,1,Sedibeng	Cases,Case,Sedibeng,,,1,gp_sedibeng,
GP,1,Sedibeng	Recoveries,Case,Sedibeng Recoveries,,,2,gp_sedibeng,
GP,2,Sedibeng Lesedi	Cases,Case,Lesedi,GT423,DC42,3,gp_sedibeng,
GP,2,Sedibeng Emfuleni	Cases,Case,Emfuleni,GT421,DC42,4,gp_sedibeng,
GP,2,Sedibeng Midvaal	Cases,Case,Midvaal,GT422,DC42,5,gp_sedibeng,
GP,2,Sedibeng Unallocated	Cases,Case,Sedibeng Unknown,,DC42,6,gp_sedibeng,
GP,1,West Rand	Cases,Case,West Rand,,,1,gp_westrand,
GP,1,West Rand	Recoveries,Recovery,West Rand Recoveries,,,2,gp_westrand,
GP,1,West Rand	Deaths,Deaths,West Rand Deaths,,,2,gp_westrand,
GP,2,West Rand Mogale City	Cases,Case,Mogale City,GT481,DC48,3,gp_westrand,
GP,2,West Rand Rand West City	Cases,Case,Rand West City,GT485,DC48,4,gp_westrand,
GP,2,West Rand Merafong City	Cases,Case,Merafong City,GT484,DC48,5,gp_westrand,
GP,2,West Rand Unallocated	Cases,Case,West Rand Unknown,,,6,gp_westrand,
WC,1,CT,Case,City of Cape Town,CPT,,1,provincial_wc_cumulative,
WC,2,CT-WE,Case,Western,,CPT,2,provincial_wc_cumulative,
WC,2,CT-SO,Case,Southern,,CPT,3,provincial_wc_cumulative,
WC,2,CT-NO,Case,Northern,,CPT,4,provincial_wc_cumulative,
WC,2,CT-TB,Case,Tygerberg,,CPT,5,provincial_wc_cumulative,
WC,2,CT-EA,Case,Eastern,,CPT,6,provincial_wc_cumulative,
WC,2,CT-KF,Case,Klipfontein,,CPT,7,provincial_wc_cumulative,
WC,2,CT-MP,Case,Mitchells Plain,,CPT,8,provincial_wc_cumulative,
WC,2,CT-KL,Case,Khayelitsha,,CPT,9,provincial_wc_cumulative,
WC,1,CW,Case,Cape Winelands,CD2,,10,provincial_wc_cumulative,
WC,2,CW-BV,Case,Breede Valley,WC025,CD2,11,provincial_wc_cumulative,
WC,2,CW-DS,Case,Drakenstein,WC023,CD2,12,provincial_wc_cumulative,
WC,2,CW-LB,Case,Langeberg,WC026,CD2,13,provincial_wc_cumulative,
WC,2,CW-SB,Case,Stellenbosch,WC024,CD2,14,provincial_wc_cumulative,
WC,2,CW-WB,Case,Witzenberg,WC022,CD2,15,provincial_wc_cumulative,
WC,1,CK,Case,Central Karoo,DC5,,16,provincial_wc_cumulative,
WC,2,CK-BW,Case,Beaufort West,WC051,DC5,17,provincial_wc_cumulative,
WC,2,CK-LB,Case,Laingsburg,WC052,DC5,18,provincial_wc_cumulative,
WC,2,CK-PA,Case,Prince Albert,WC053,DC5,19,provincial_wc_cumulative,
WC,1,GR,Case,Eden,DC4,,20,provincial_wc_cumulative,
WC,2,GR-BT,Case,Bitou,WC047,DC4,21,provincial_wc_cumulative,
WC,2,GR-GE,Case,George,WC044,DC4,22,provincial_wc_cumulative,
WC,2,GR-HQ,Case,Hessequa,WC042,DC4,23,provincial_wc_cumulative,
WC,2,GR-KL,Case,Kannaland,WC041,DC4,24,provincial_wc_cumulative,
WC,2,GR-KN,Case,Knysna,WC048,DC4,25,provincial_wc_cumulative,
WC,2,GR-MB,Case,Mossel Bay,WC043,DC4,26,provincial_wc_cumulative,
