key,value
CT,City of Cape Town
CT-WE,Western
CT-SO,Southern
CT-NO,Northern
CT-TB,Tygerberg
CT-EA,Eastern
CT-KF,Klipfontein
CT-MP,Mitchells Plain
CT-KL,Khayelitsha
CW,Cape Winelands
CW-BV,Breede Valley
CW-DS,Drakenstein
CW-LB,Langeberg
CW-SB,Stellenbosch
CW-WB,Witzenberg
CK,Central Karoo
CK-BW,Beaufort West
CK-LB,Langsburg
CK-PA,Prince Albert
GR,Garden Route
GR-BT,Bitou
GR-GE,George
GR-HQ,Hessequa
GR-KL,Kannaland
GR-KN,Knysna
GR-MB,Mossel Bay
GR-OS,Oudstrhoorm
OB,Overberg
OB-CA,Cape Agulhas
OB-OS,Overstrand
OB-SD,Swellendam 
OB-TK,Theewaterskloof
WC,West Coast
WC-BR,Bergriver
WC-CB,Cederberg
WC-MZ,Matzikama
WC-SB,Saldanha Bay
WC-SL,Swartland
UNKNOWN,Unknown
