date,YYYYMMDD,alfred_nzo,amathole,buffalo_city_metro,chris_hani,joe_gqabi,nelson_mandele_metro,or_tambo,sarah_baartman_district,unknown,total,source
19-04-2020,20200419,0,5,108,24,0,108,14,11,0,270,https://twitter.com/healthecmec/status/1251744022751842304
20-04-2020,20200420,0,5,108,25,0,127,14,14,0,293,https://twitter.com/OscarMabuyane/status/1252154489005641730
26-04-2020,20200426,1,5,144,57,2,218,46,15,0,488,https://twitter.com/OscarMabuyane/status/1254382656743264256
27-04-2020,20200427,1,8,150,87,2,276,48,16,0,588,https://twitter.com/OscarMabuyane/status/1255047037768302592
29-04-2020,20200429,12,7,151,91,2,298,53,16,0,630,https://twitter.com/healthecmec/status/1255802144017592321
01-05-2020,20200501,17,10,159,96,3,332,58,16,0,691,https://twitter.com/OscarMabuyane/status/1256506403294007296
02-05-2020,20200502,17,10,161,110,3,355,60,16,0,732,https://twitter.com/OscarMabuyane/status/1256955288516808710
03-05-2020,20200503,16,10,165,112,7,376,72,16,0,774,https://twitter.com/OscarMabuyane/status/1257355243794452480
04-05-2020,20200504,19,11,176,117,8,385,74,24,0,814,https://twitter.com/OscarMabuyane/status/1257689524685221889
05-05-2020,20200505,22,13,183,120,8,401,75,16,0,838,https://twitter.com/OscarMabuyane/status/1258052412574662661
06-05-2020,20200506,22,15,184,124,8,403,76,17,0,849,https://twitter.com/OscarMabuyane/status/1258432377220718593
07-05-2020,20200507,23,15,189,127,8,421,77,17,52,929,https://twitter.com/OscarMabuyane/status/1258768143922716675
