date,YYYYMMDD,Amajuba,eThekwini,Harry Gwala,iLembe,King Cetshwayo,Ugu,Umgungundlovu,Umkhanyakude,Umzinyathi,Uthukela,Zululand,Unknown,Total,recovered,deaths,tested,source
24-06-2020,20200624,129,3217,69,819,181,153,616,64,64,215,37,61,5625,2947,92,,https://twitter.com/kznhealth/status/1275797425953931270
25-06-2020,20200625,145,3475,73,842,192,190,680,64,66,245,38,64,6075,2947,98,,https://twitter.com/kznhealth/status/1276036633016614913
26-06-2020,20200626,156,3809,89,858,211,203,750,72,69,257,43,73,6590,3197,106,,https://twitter.com/kznhealth/status/1276410993720123392
27-06-2020,20200627,164,4128,103,871,290,220,810,75,71,290,48,86,7090,3417,109,,ttps://twitter.com/kznhealth/status/1277221591328456706
28-06-2020,20200628,184,4524,130,889,260,232,877,79,73,351,77,110,7786,3417,112,,https://twitter.com/kznhealth/status/1277206072646930432
29-06-2020,20200629,194,4947,134,916,277,245,961,82,73,392,81,132,8434,3602,115,,https://twitter.com/kznhealth/status/1277528757239197698
30-06-2020,20200630,205,5282,149,924,318,263,1036,83,84,416,130,152,9042,3602,126,,https://twitter.com/kznhealth/status/1277844987665952768
01-07-2020,20200701,205,5666,172,942,351,278,1109,83,94,447,138,158,9674,3770,136,,https://twitter.com/kznhealth/status/1278231725575979010
02-07-2020,20200702,281,6089,188,972,403,372,1182,95,104,489,175,161,10632,4111,152,,https://twitter.com/kznhealth/status/1278604455626313731
03-07-2020,20200703,298,6537,234,982,452,412,1430,111,154,543,189,206,11548,4197,162,,https://twitter.com/kznhealth/status/1279355229981618177
04-07-2020,20200704,348,7088,264,1003,531,457,1594,118,162,592,212,388,12757,4197,178,,https://twitter.com/kznhealth/status/1279485190650368005
05-07-2020,20200705,393,7666,288,1054,625,525,1833,128,182,631,252,407,13984,4197,182,,https://twitter.com/kznhealth/status/1279743394076594177
06-07-2020,20200706,453,8286,313,1077,724,564,2050,142,194,722,276,345,15146,4800,188,,https://twitter.com/kznhealth/status/1280022598202654720
07-07-2020,20200707,507,8666,326,1099,790,589,2187,146,206,755,315,233,15819,4890,205,,https://twitter.com/kznhealth/status/1280369811210620928
08-07-2020,20200708,522,9131,365,1118,865,628,2323,150,223,786,370,262,16743,5307,223,,https://twitter.com/kznhealth/status/1280884683040006144
09-07-2020,20200709,579,9679,385,1158,961,664,2567,175,241,890,408,273,17962,5505,249,,https://twitter.com/kznhealth/status/1281301677560213509
10-07-2020,20200710,667,10513,440,1225,1106,705,2847,166,264,950,462,285,19630,5953,260,,https://twitter.com/kznhealth/status/1281506249251655681
11-07-2020,20200711,778,11294,503,1358,1232,748,3129,174,331,1022,515,302,21386,6021,273,,https://twitter.com/kznhealth/status/1281949646689050624
12-07-2020,20200712,860,12509,554,1389,1309,781,3819,186,345,1101,555,343,23751,6021,280,,https://twitter.com/kznhealth/status/1282311451013779456
13-07-2020,20200713,958,13338,617,1434,1451,875,4171,223,404,1166,625,310,25572,7521,286,,https://twitter.com/kznhealth/status/1282634493518643201
14-07-2020,20200714,1088,14141,642,1462,1579,940,4528,228,487,1226,716,350,27387,7521,313,,https://twitter.com/kznhealth/status/1282963074996228096
15-07-2020,20200715,1147,15523,707,1531,1736,1005,5022,276,558,1308,758,1015,30587,8968,337,,https://twitter.com/kznhealth/status/1283328568215375873
16-07-2020,20200716,1308,16682,791,1609,1964,1118,5292,282,604,1432,811,1046,32937,9434,357,,https://twitter.com/kznhealth/status/1283715990128414720
17-07-2020,20200717,1394,17718,842,1676,2169,1207,5574,308,643,1622,872,1151,35174,10403,378,,https://twitter.com/kznhealth/status/1284171538145714176
18-07-2020,20200718,1583,18551,927,1729,2322,1310,5958,318,703,1709,1020,1159,37287,10624,401,,https://twitter.com/kznhealth/status/1284608272985718785
19-07-2020,20200719,1814,19771,999,1840,2547,1406,6347,342,782,1848,1166,1185,40045,11055,416,,https://twitter.com/kznhealth/status/1285123998708371456
20-07-2020,20200720,2066,21690,1064,2013,2813,1554,6704,386,858,2043,1341,661,43215,13291,430,,https://twitter.com/kznhealth/status/1285124308273070081
