date,YYYYMMDD,deaths,recoveries,cases,tests
10-03-2020,20200310,0,1,1,41
11-03-2020,20200311,0,1,1,64
12-03-2020,20200312,0,2,2,130
13-03-2020,20200313,0,8,8,161
14-03-2020,20200314,0,5,5,105
15-03-2020,20200315,0,1,1,66
16-03-2020,20200316,0,7,7,1080
17-03-2020,20200317,0,16,16,887
18-03-2020,20200318,0,22,22,602
19-03-2020,20200319,0,17,17,446
20-03-2020,20200320,0,36,36,418
21-03-2020,20200321,0,19,19,218
22-03-2020,20200322,0,25,26,156
23-03-2020,20200323,0,27,27,594
24-03-2020,20200324,0,26,27,475
25-03-2020,20200325,0,41,42,401
26-03-2020,20200326,0,39,40,325
27-03-2020,20200327,1,15,15,295
28-03-2020,20200328,0,13,14,284
29-03-2020,20200329,0,8,8,156
30-03-2020,20200330,0,17,18,411
31-03-2020,20200331,0,26,26,340
01-04-2020,20200401,0,40,42,339
02-04-2020,20200402,0,17,17,373
03-04-2020,20200403,0,20,20,450
04-04-2020,20200404,1,20,21,405
05-04-2020,20200405,0,15,16,258
06-04-2020,20200406,3,20,21,671
07-04-2020,20200407,1,9,12,922
08-04-2020,20200408,0,23,24,1129
09-04-2020,20200409,1,27,29,1234
10-04-2020,20200410,0,18,18,422
11-04-2020,20200411,1,36,37,362
12-04-2020,20200412,1,21,25,314
13-04-2020,20200413,0,22,26,383
14-04-2020,20200414,0,15,17,1337
15-04-2020,20200415,4,24,26,1933
16-04-2020,20200416,2,47,49,2257
17-04-2020,20200417,2,86,88,2290
18-04-2020,20200418,0,65,66,847
19-04-2020,20200419,1,49,51,475
20-04-2020,20200420,6,123,129,2420
21-04-2020,20200421,4,154,161,2673
22-04-2020,20200422,3,217,225,3157
23-04-2020,20200423,1,171,176,3440
24-04-2020,20200424,1,74,75,3177
25-04-2020,20200425,5,124,134,1057
26-04-2020,20200426,2,53,58,1132
27-04-2020,20200427,2,160,163,1039
28-04-2020,20200428,4,326,330,4695
29-04-2020,20200429,3,288,297,4431
30-04-2020,20200430,3,300,304,4870
01-05-2020,20200501,5,228,236,1806
02-05-2020,20200502,6,422,433,1444
03-05-2020,20200503,5,236,246,1326
04-05-2020,20200504,11,631,641,5705
05-05-2020,20200505,3,852,866,6162
06-05-2020,20200506,10,738,756,4744
07-05-2020,20200507,12,691,710,4874
08-05-2020,20200508,9,746,759,5245
09-05-2020,20200509,3,438,463,2183
10-05-2020,20200510,9,268,282,1290
11-05-2020,20200511,6,1192,1221,6061
12-05-2020,20200512,15,1036,1067,5621
13-05-2020,20200513,16,1006,1053,5383
14-05-2020,20200514,10,999,1034,5662
15-05-2020,20200515,15,983,1017,5820
16-05-2020,20200516,16,385,419,2213
17-05-2020,20200517,19,365,391,1641
18-05-2020,20200518,21,1575,1617,7673
19-05-2020,20200519,20,1427,1467,6477
20-05-2020,20200520,32,1357,1400,6276
21-05-2020,20200521,22,1250,1306,6716
22-05-2020,20200522,25,1291,1342,6617
23-05-2020,20200523,16,461,507,2237
24-05-2020,20200524,26,354,392,1589
25-05-2020,20200525,29,1396,1464,6583
26-05-2020,20200526,25,1399,1463,6358
27-05-2020,20200527,19,1282,1350,6101
28-05-2020,20200528,37,1249,1311,5945
29-05-2020,20200529,36,1321,1385,6074
30-05-2020,20200530,36,527,578,2556
31-05-2020,20200531,31,379,422,1588
01-06-2020,20200601,47,1623,1730,7263
02-06-2020,20200602,32,1392,1462,6495
03-06-2020,20200603,36,1205,1283,5297
04-06-2020,20200604,35,1029,1120,4941
05-06-2020,20200605,39,1100,1207,4978
06-06-2020,20200606,45,428,485,1746
07-06-2020,20200607,45,385,443,1207
08-06-2020,20200608,42,1424,1523,5633
09-06-2020,20200609,48,1336,1446,4927
10-06-2020,20200610,40,1154,1238,3942
11-06-2020,20200611,48,1029,1124,3717
12-06-2020,20200612,41,1153,1261,4335
13-06-2020,20200613,51,437,519,1580
14-06-2020,20200614,41,478,568,1273
15-06-2020,20200615,45,1365,1500,5216
16-06-2020,20200616,49,371,462,1312
17-06-2020,20200617,37,1546,1718,5106
18-06-2020,20200618,49,1354,1518,4082
19-06-2020,20200619,41,1341,1543,4622
20-06-2020,20200620,53,489,619,1800
21-06-2020,20200621,43,327,454,1081
22-06-2020,20200622,44,1772,2027,5749
23-06-2020,20200623,50,1466,1652,5023
24-06-2020,20200624,48,19,1614,4915
25-06-2020,20200625,51,16,1501,4652
26-06-2020,20200626,38,7,1476,4475
27-06-2020,20200627,42,3,490,1468
28-06-2020,20200628,39,5,388,1028
29-06-2020,20200629,54,9,2131,5725
30-06-2020,20200630,32,9,1755,4914
01-07-2020,20200701,49,7,1487,4588
02-07-2020,20200702,56,4,1378,4103
03-07-2020,20200703,41,3,1226,3924
04-07-2020,20200704,41,2,369,1202
05-07-2020,20200705,33,2,248,685
06-07-2020,20200706,32,1,570,2194
07-07-2020,20200707,20,0,51,204
08-07-2020,20200708,0,0,0,0
