Suburbs,No. of Cases
Unallocated,1640
Guguletu,350
Khayelitsha,319
NYANGA,222
Leiden,219
LANGA,186
PHILIPPI,185
Mfuleni,184
Delft South,146
Masiphumelele,144
Dunoon,139
Weltevreden Valley North,135
Crossroads,125
Harare,114
Kuyasa,114
Delft,101
Browns Farms,97
Nduli,91
Khaya,90
Wallace Dene,84
Manenberg,83
Lentegeur,82
Bishop Lavis,81
Ilitha Park,81
Bloekombos,78
Mandela Park,73
Town 3 Village 5,61
Mandalay,57
Gatesville,56
De La Haye,55
Ravensmead,53
Tafelsig,51
Lotus River,49
Wynberg,47
Portland,45
Eyethu,44
Grassy Park,43
Hanover Park,43
Ikwezi Park,42
Bonteheuwel,40
EERSTE RIVER,40
Macassar,40
PAROW,39
Town 3 Village 3,39
Fisantekraal,38
Voorbrug,38
Vredehoek,38
Imizamo Yethu,36
Kenilworth,36
Nonqubela,36
Retreat,36
Rylands,36
Wesbank,36
BELHAR,35
Bridgetown,35
Rondebosch,35
scottsdene,35
Bellville South,34
Heideveld,34
Mbekweni,34
Parklands,34
Beacon Valley,33
Bella Vista,33
CAPRICORN,32
Rocklands,32
Roosendal,31
Woodstock,31
MATROOSFONTEIN,30
Pinelands,30
Maitland,29
New Rest,29
Observatory,29
Scottsville,29
Strandfontein,29
Woodlands,28
Bellville Central,27
Claremont,27
Lwandle,27
Uitsig,27
Westridge,27
Eastridge,26
Green Point,25
HOUT BAY,25
Ocean View,25
Gardens,24
Kalkfontein,24
Rondebosch East,24
Endlovini,23
Plumstead,23
Ruyterwacht,23
BELLVILLE,22
Fresnaye,22
Lansdowne,22
Milnerton,22
Newlands,22
Cape Town City Centre,21
CERES,21
Griffiths Mxenge,21
Sea Point,21
Surrey,21
Valhalla Park,21
Heinz Park,20
Malibu Village,20
Sunnydale,20
Athlone,19
Balvenie,19
Devon Park,19
Fish Hoek,19
Silvertown,19
SOMERSET WEST,19
The Hague,19
Trevor Vilakazi,19
Victoria Mxenge,19
KTC,18
Ottery,18
Parow Valley,18
Steenberg,18
STRAND,18
Belmont Park,17
Boston,17
Kensington,17
Oranjezicht,17
Salt River,17
Schotschekloof,17
Summer Greens,17
Brooklyn,16
Forest Village,16
Groenheuwel,16
KRAAIFONTEIN,16
Muizenberg,16
Rosebank,16
Sarepta,16
Asanda,15
Bothasig,15
Cravenby,15
Eureka Estate,15
Heather Park,15
Saxonsea,15
Kaya Mandi,14
Montana,14
New Woodlands,14
Parkwood,14
Protea Heights,14
Zweletemba,14
Avondale,13
Belgravia,13
Bongweni,13
Camps Bay,13
Century City,13
Leonsdale,13
Nomzamo,13
Porterville,13
Robinvale,13
Town 3 Village 2,13
Town 3 Village 4,13
Witzenville,13
Burgundy,12
Crawford,12
Joe Slovo Park,12
Kanana,12
Kewtown,12
Kuils River,12
Northpine,12
Rusthof,12
Weltevreden Valley,12
Barcelona,11
Bernadino Heights,11
Beverly Park,11
Connaught,11
Ekuphumleni,11
Table View,11
Townsend Estate,11
Village 1 South,11
WELLINGTON,11
Beach Estate,10
Belhar 2,10
Edgemead,10
Eikendal,10
Highbury Park,10
Kleinvlei,10
Norwood,10
Parow East,10
Salberau,10
Westlake,10
Zonnebloem,10
Burgundy Estate,9
Dennemere,9
Fairfield Estate,9
Glenlily,9
Goodwood Estate,9
Highbury,9
Idasvallei,9
KOMMETJIE,9
Kraaifontein East,9
Morgenster,9
Mowbray,9
Newfields,9
Phoenix,9
Stellenbosch Central,9
Thembalethu,9
Van Wyks Vlei,9
Belhar 18,8
Blue Downs,8
Broadlands,8
Happy Valley,8
Kalksteenfontein,8
Southfield,8
STELLENBOSCH,8
Thornton,8
Van Riebeeckshof,8
Welgemoed,8
West Beach,8
CALEDON,7
Churchill Estate,7
Electric City,7
Forest Heights,7
Glenhaven,7
Hazendal,7
Kirstenhof,7
Lavendar Hill,7
Lavender Hill,7
PAARL,7
Panorama,7
Pelikan Park,7
Perm Gardens,7
Plattekloof 1,7
Plettenberg Bay,7
Prince Alfred Hamlet,7
Riverside,7
Rondevlei Park,7
Rugby,7
Sillwood Heights,7
Soneike,7
Tamboerskloof,7
Vasco Estate,7
Vogelvlei (Wesbank),7
Vredelust,7
Wetton,7
Witsand,7
Worcester Central,7
Austinville,6
Bel Ombre,6
Belhar 11,6
Belhar 23,6
Bellair,6
Bergvliet,6
Bloubergstrand,6
Brackenfell South,6
Cloetesville,6
de oude spruit,6
Devils Peak Estate,6
Durbanville,6
Graceland,6
Greenfields,6
Killarney Gardens,6
Kingston,6
Lagoon Beach,6
Loevenstein,6
Mamre,6
Oakdale,6
Onverwacht,6
Riverton,6
Sanlamhof,6
Silverhurst,6
Tulbagh,6
V & A Waterfront,6
Vanguard,6
Vrygrond,6
White City,6
Windermere,6
Avonwood,5
Barbarossa,5
Beaconhill,5
Belhar 21,5
Belhar 6,5
Bellville South Ext 13,5
Bishopscourt,5
Broadlands Village,5
Charleston Hill,5
DARLING,5
Diepwater (Wesbank),5
Eindhoven,5
Epping Forest,5
Fountain Village,5
Gaylee,5
GRABOUW,5
High Places,5
Hout Bay Heights,5
Hyde Park,5
Malmesbury,5
Morningstar,5
North Camp Wingfield,5
Oakglen,5
Pinehurst,5
Plattekloof 2,5
Protea Park,5
Sercor Park,5
Silversands,5
Sonkring,5
Strandfontein Village,5
Stratford Green,5
Summerville,5
Tokai,5
Turf Hall Estate,5
Tyger Valley,5
Uitzicht,5
Valmary Park,5
Victoria Park,5
Windsor Park Estate,5
Amstelhof,4
Avon,4
Bakoven,4
Belhar 19,4
Belhar 7,4
Belrail,4
Camelot,4
Colorado,4
Costa Da Gama,4
Devon Park Village,4
Diep River,4
Dobson,4
Erica Township,4
Fairways,4
Faure,4
Houghton,4
Jagtershof,4
Monte Vista,4
Morgans Village,4
Mossel Bay,4
OUDTSHOORN,4
Paarl Central West,4
Parow North,4
Penlyn Estate,4
Philippi Park,4
phola park,4
Russels Rest,4
Rustdal,4
Solomon Mahlangu,4
Somerset Park,4
Sonstraal,4
Stellenberg,4
Sunbird Park,4
Sunningdale,4
Sunset Beach,4
Swellendam,4
Three Anchor Bay,4
Tuscany Glen,4
Village On Sea,4
Westgate,4
Zwelihle,4
Alphen,3
Amandelsig,3
Anchorage Park,3
Bantry Bay,3
Belhar 16,3
Bellville West A,3
Bergsig,3
Boquinar Industrial Area,3
Chrismar,3
Clarkes Estate,3
Clifton,3
CONSTANTIA,3
De Kuilen,3
Durbanville Hills,3
Egoli,3
Elfindale,3
Epping Industria 2,3
Erinvale Estate,3
Florida,3
Goedemoed,3
GORDONS BAY,3
Greenways Golf Estate,3
Groenvallei,3
Hangberg,3
Hatton,3
Heathfield,3
Heidelberg,3
Ilinge Lethu,3
Johnsons Park,3
Kalk Bay,3
Kempenville,3
Klein Brak River,3
Klein Nederburg,3
Klipkop,3
KNYSNA,3
Kwanonqaba,3
Marina Da Gama,3
Mount Pleasant,3
Mountain,3
Mountview,3
New Orleans,3
Newtown,3
Noordhoek,3
Onrus River,3
Parkersdam,3
Peerless Park East,3
Peerless Park North,3
Pine Acres,3
Pine Place,3
Pine Valley,3
Richwood,3
Saldanha,3
Sanddrift,3
Saron,3
Scott Estate,3
Sherwood,3
Silver Town,3
Stikland,3
Table Mountain (Nature Reserve),3
Tembani,3
Tygerdal,3
University Estate,3
VELDDRIF,3
Vergesig,3
Vierlanden,3
Vredekloof,3
WALLACEDENE,3
Wellway Park East,3
Westcliff,3
White Location,3
Wimbledon Estate,3
Woodbridge Island,3
Zeekoei Vlei,3
Acacia Park,2
Adriaanse,2
Arauna,2
Augusta,2
Aurora,2
Avondstil,2
Bardale Village,2
Belhar 12,2
Belhar 13,2
Belhar 14,2
Belhar 4,2
Bellville Lot 3,2
Bellville Lot 6,2
Bellville South Ext 14,2
Belthorn Estate,2
Blackheath Industrial,2
Blanco,2
Bloemhof,2
Blouberg Sands,2
Bo Oakdale,2
Bonnie Brae,2
Brandwacht,2
Brenton-on-Sea,2
Bridgeton,2
Bridgewater,2
buh-rein estate,2
Century View,2
Charlesville,2
Clanwilliam,2
Clovelly,2
Crofters Valley,2
Dalsig,2
Dalvale,2
De Bron,2
De Doorns East,2
De Tijger,2
De Waterkant,2
De Wijnlanden,2
Drift Sands,2
Duynefontein,2
east-rural,2
Eden,2
Elim,2
Eversdal,2
Faerie Knowe,2
Fairview Golf Estate,2
Ferndale,2
Firgrove,2
Garden Village,2
Gill Cape,2
Gleemoor,2
Glen Alpine,2
Glencairn Heights,2
Golden Acre,2
Greater Chatsworth,2
Gustrow,2
Hartenbos,2
Heatherlands,2
Heldervue,2
Helderzicht,2
Heritage Park,2
Hexpark,2
Hill View,2
Hillcrest Heights,2
Horstmandale,2
Hout Bay Harbour,2
Hume,2
Hunters Home,2
Ikwezipark,2
Jacarandas,2
Kalbaskraal,2
Klein Parys,2
Knole Park,2
Knysna Central,2
Kwanokuthula,2
Labiance,2
Laingville,2
Lakeside,2
Langeberg Smallholdings,2
Llandudno,2
Lost City,2
Louwville,2
Maniesoord,2
Mitchells Plain Centre,2
Monte Bertha,2
Monwabisi,2
Moorreesburg,2
Morgenster Hoogte,2
New Horizons,2
Nieuveld Park,2
Nkqubela,2
Nova Constantia,2
Nuwedorp,2
Oakdene,2
Ongegund,2
Oubaai Golf Estate,2
Paarl Central East,2
Palm Park,2
Parel Vallei,2
Peerless Park West,2
Plattekloof 3,2
Protea Valley,2
Qolweni,2
Reebok,2
Riebeek Kasteel,2
Riebeek West,2
Robertson,2
Rogge Bay,2
Romp Vlei,2
Rosedale Estate,2
Rosendal,2
Roux Park,2
Ruyteplaats Private Mountain Estate,2
Sandown Estate,2
Silveroaks,2
Simons Kloof,2
Simons Town,2
Spanish Farm,2
Stellenridge,2
Still Bay West,2
Sun Valley,2
Sunnyside,2
Sybrandpark,2
The Diemersfontein Village,2
The Heads,2
The Range,2
Theronville,2
Tijgerhof,2
Valhalla,2
Vermont,2
Viking Village,2
Villiersdorp,2
Vredenberg,2
Vredendal,2
Vrykyk,2
Welgelegen 3,2
Wellington Central,2
West Riding,2
Windsor Park,2
WOLSELEY,2
Worcester,2
Abbotsdale,1
Albertinia,1
Alf. Blv,1
Amandelrug,1
Arbeidslus,1
Atlantis Industrial,1
Avalon Estate,1
Barrydale,1
Beaconvale,1
Belhar 1,1
Belhar 10,1
Belhar 15,1
Belhar 20,1
Belhar 3,1
Belhar 9,1
Bellville Lot 1,1
Bellville Lot 2,1
Bellville Lot 5,1
Bene,1
Bennetsville,1
Benno Park,1
Blackheath,1
Blanc Kelly,1
Blommendal,1
Blompark,1
blomtuin,1
Blomvlei,1
Blouberg Rise,1
Bonnie Brook,1
Bonnievale,1
Bosbell,1
Bosonia,1
Bot River,1
Brackenfell Central,1
brackenfell north,1
Brantwood,1
Bredasdorp,1
Brentwood Park,1
Briza,1
Camphers Drift,1
Capri,1
Carwick,1
Chapmans Peak,1
Cherrywood Gardens,1
Chicago,1
Cola Beach,1
Coniston Park,1
Constantia Heights,1
Croydon Vineyard Estate,1
Da Gama Park,1
De Grendel,1
DE RUST,1
De Wingerd,1
Denneburg,1
Dennendal,1
Deurdrif,1
Diazville,1
Die Bos,1
Die Dorp Op Die Berg,1
Die Voor Bay,1
Die Wingerd,1
Dorpsig,1
d'urbanvale,1
Eikenbosch,1
Elsies River Industrial,1
Epping Garden Village,1
Epping Industria 1,1
Esterhof,1
Eversdal Heights,1
Fairdale,1
Fairy Glen,1
Fernwood Estate,1
Flamingo Vlei,1
Florian Park,1
Foreshore,1
Forest Glade,1
FRANSCHHOEK,1
FRIEMERSHEIM,1
Genadendal 1,1
George,1
George Industria,1
George South,1
Glen Ridge,1
Glencairn,1
Glentana,1
Goniwe Park,1
Gouda,1
Greenville Garden City,1
GROOT BRAKRIVIER,1
Guldenland,1
Haarlem,1
Haasendal,1
Hagley,1
Harbour Island,1
Heerenzicht Estate,1
Helderberg Estate,1
Helderberg Village,1
Hemel en Aarde Estate,1
Hermanus,1
Hillrise,1
Hindle Park,1
Hugenot,1
Humanshof,1
Hunters Retreat,1
Imhofs Gift,1
Joubertsingel,1
Kanonberg Lifestyle Estate,1
Karindal,1
Kelderhof,1
Kelderhof Country Village,1
Khayamandi,1
