Town,No. of Cases
Cape Town,1465
Khayelitsha,1398
Unallocated,948
Eerste River,586
Guguletu,537
Philippi,492
Mitchells Plain,454
Athlone,323
Delft,308
Kraaifontein,300
Milnerton,283
LANGA,281
Nyanga,253
Fish Hoek,173
Parow,168
Ceres,159
Bellville,155
Matroosfontein,141
Kuils River,139
Blue Downs,133
Hout Bay,131
Belhar,121
Paarl,114
Strand,114
Elsies River,106
Grassy Park,106
Goodwood,84
Durbanville,80
Somerset West,76
Macassar,67
Stellenbosch,66
brackenfell,58
Muizenberg,55
Worcester,51
Atlantis,48
Wellington,37
Malmesbury,36
Strandfontein,35
Constantia,29
George,29
Blackheath,28
Tulbagh,25
City of Cape Town Rural,20
Knysna,19
Gordons Bay,16
Hermanus,16
Mossel Bay,16
KOMMETJIE,14
Blouberg,13
Plettenberg Bay,12
Porterville,12
Wolseley,10
CALEDON,9
Welgemoed,9
Vredenburg,8
Darling,7
GROOT BRAKRIVIER,7
Montagu,7
Noordhoek,7
Oudtshoorn,7
Prince Alfred Hamlet,7
Witsand,7
Simon's Town,6
SWELLENDAM,6
Franschhoek,5
GRABOUW,5
Mamre,5
Robertson,5
Vermont,5
Bishop Lavis,4
Saldanha,4
Saron,4
Simons Town,4
Albertinia,3
De Doorns,3
Haarlem,3
Heidelberg,3
Herolds Bay,3
Langebaan,3
Napier,3
Onrus,3
Riebeek Kasteel,3
Velddrif,3
VILLIERSDORP,3
Vredendal,3
Barrydale,2
Beaufort West,2
Brenton-on-Sea,2
Clanwilliam,2
Moorreesburg,2
Philadelphia,2
Pniel,2
Ravensmead,2
Riebeek West,2
Scarborough,2
St Helena Bay,2
Still Bay,2
Ashton,1
Aurora,1
Bluedowns,1
Bot River,1
Bredasdorp,1
De Rust,1
Friemersheim,1
Gans Bay,1
Genadendal,1
Gugulethu,1
KLAPMUTS,1
Klawer,1
Kleinmond,1
Klipdale,1
Ladismith,1
Laingsburg,1
Loevenstein,1
Melkbosstrand,1
Pearly Beach,1
Piketberg,1
Rheenendal,1
Rooi-Els,1
Sedgefield,1
Stellenbosch Rural,1
Suurbraak,1
Vanrhynsdorp,1
