Province,District,Address,Name,Long,Lat,Hospital Type,Total number of beds,Number of ICU beds,Source
Western Cape,,Khayelitsha,,,,Field Hospital,60 -70,,https://www.msf.org.za/stories-news/news-our-projects/south-africa-covid19-operational-update-7
,,CTICC,,,,Field Hospital,850,,https://www.news24.com/SouthAfrica/News/watch-cticc-transformed-into-paperless-field-hospital-to-boost-covid-19-fight-20200526
,,R300,,,,Field Hospital,,,https://www.vocfm.co.za/icu-beds-for-covid-19-patients-already-full-in-cape-towns-largest-hospital/
Gauteng,,Johannesburg Expo Centre, Nasrec centre,,,Field Hospital,more than 2000,,https://southerncourier.co.za/198901/nasrec-expo-centre-to-be-used-for-covid-19-cases/
,,Johannesburg ,FNB Stadium,,,Field Hospital,1500,,https://www.iol.co.za/the-star/news/fnb-stadium-to-become-field-hospital-for-covid-19-patients-46965303
,,Carletonville,AngloGold Ashanti Hospital,,,Repurposed Hospital,,175,https://www.news24.com/SouthAfrica/News/gauteng-health-dept-repurposes-anglogold-hospital-as-a-covid-19-facility-20200527
KwaZulu Natal,Pietermaritzburg,The Royal Agricultural showground,,,Field Hospital,254,,https://www.news24.com/news24/southafrica/news/covid-19-field-hospital-launched-in-kzn-20200614
,,Durban Exhibition Centre,,,,,,,
Eastern Cape,Nelson Mandela Bay,Port Elizabeth ,Nelson Mandela Bay Stadium,,,Field Hospital,,,https://www.dispatchlive.co.za/sport/2020-04-22-fnb-stadium-on-standby-to-serve-as-a-field-hospital-to-treat-covid-19/
,,Port Elizabeth ,VW Plant,,,Field Hospital,4000,,https://www.news24.com/SouthAfrica/News/eastern-cape-receives-boost-as-vw-plant-to-be-converted-into-4-000-bed-field-hospital-20200505
Northern Cape ,,,,,,,,,
North West,,,,,,,,,
Limpopo,,,,,,,,,
Mpumalanga,,,,,,,,,
Free State,,,,,,,,,
