hospital_id,Hospitalital_name,longitude,latitude,province
464,Mediclinic Newcastle Day Hospital,29.931891,-27.7672,ZA-KZN
465,Mediclinic Newcastle Hospital,29.931392,-27.7685,ZA-KZN
466,Ahmed Al-Kadi Prv Hospital,30.978631,-29.844,ZA-KZN
467,Akeso Umhlanga Hospital,31.068422,-29.7129,ZA-KZN
468,Alliance Care Umhlanga Hospital,31.021882,-29.7547,ZA-KZN
469,Bluff Centre Hospital,31.020005,-29.9086,ZA-KZN
470,Broadwalk Med Centre,31.018172,-29.8602,ZA-KZN
471,Busamed Gateway Hospital,31.072501,-29.7226,ZA-KZN
472,Busamed Hillcrest Prv Hospital,30.74085,-29.7899,ZA-KZN
473,Capital Oncology and General Hospital,30.98583,-29.8517,ZA-KZN
475,Chatsworth Cheshire Rehab Centre,30.886355,-29.921991,ZA-KZN
476,City Hospital,31.014692,-29.8512,ZA-KZN
478,DBN Eye Hospital,30.997621,-29.836,ZA-KZN
479,Durban Oncology Centre,30.985862,-29.8515,ZA-KZN
482,Fountain Med Centre,30.857739,-30.0964,ZA-KZN
483,Highway Sub-Acute,30.761786,-29.772691,ZA-KZN
484,Humana Health Care Hospital,28.211471,-25.768068,ZA-KZN
486,IMA Hospital,30.90004,-29.9943,ZA-KZN
487,JMH Ascot Park Hospital,31.018237,-29.8485,ZA-KZN
488,JMH City Hospital,31.014662,-29.8513,ZA-KZN
489,JMH Durdoc Hospital,31.017216,-29.8605,ZA-KZN
490,JMH Isipingo Hospital,30.926839,-29.9863,ZA-KZN
493,Kynoch Hospital,30.90682,-30.0184,ZA-KZN
494,Life Chatsmed Garden Hospital,30.906225,-29.9095,ZA-KZN
495,Life Entabeni Hospital,30.987428,-29.8555,ZA-KZN
496,Life Mt Edgecombe Hospital,31.035649,-29.7157,ZA-KZN
497,Life The Crompton Hospital,30.865212,-29.8112,ZA-KZN
498,Life Westville Hospital,30.932113,-29.8509,ZA-KZN
500,Malvern Centre Hospital,30.920624,-29.8814,ZA-KZN
502,Mediclinic Victoria Hospital,31.118208,-29.5733,ZA-KZN
503,Medicross Procare Sub-Acute Hospital,30.913635,-30.0243,ZA-KZN
504,Netcare Kingsway Hospital,30.903978,-30.0328,ZA-KZN
505,Netcare Parklands Hospital,30.998478,-29.834,ZA-KZN
506,Netcare St Augustine's Hospital,30.990445,-29.8564,ZA-KZN
507,Netcare Umhlanga Hospital,31.068697,-29.7275,ZA-KZN
508,NHN Capital Haemato Hospital,30.985775,-29.8517,ZA-KZN
509,NHN Healing Hills Hospital,30.663681,-29.7391,ZA-KZN
510,NHN Icare Amanzimtoti Med Centre,30.914036,-30.0186,ZA-KZN
511,NHN Lenmed eThekwini Heart Hospital,30.995682,-29.7774,ZA-KZN
512,NHN Lenmed Shifa Hospital,30.984954,-29.8308,ZA-KZN
513,NHN M-Care Umhlanga Hospital,31.069036,-29.7276,ZA-KZN
516,Saiccor Hospital,30.79335,-30.2011,ZA-KZN
520,Westridge Day Surg Centre,30.985809,-29.850821,ZA-KZN
521,NHN Riverview Clinic Hospital,29.497375,-29.7946,ZA-KZN
524,Netcare Kokstad Prv Hospital,29.424315,-30.5521,ZA-KZN
527,KwaDukuza Private Hospital,31.275556,-29.3468,ZA-KZN
528,Netcare Alberlito Hospital,31.201856,-29.5304,ZA-KZN
530,JMH Richards Bay Med Institute,32.053203,-28.748916,ZA-KZN
531,Life Empangeni Prv Hospital,31.893714,-28.7363,ZA-KZN
532,Melomed Rich Bay Hospital,31.932124,-28.7698,ZA-KZN
533,Netcare The Bay Hospital,32.052822,-28.7495,ZA-KZN
535,Richards Bay Med Institute Day Hospital,32.053299,-28.74901,ZA-KZN
539,Hibiscus Day Surgical Hospital,30.451536,-30.7416,ZA-KZN
540,Netcare Margate Hospital,30.358177,-30.8617,ZA-KZN
541,NHN Hibiscus Hospital,30.451701,-30.7415,ZA-KZN
542,NHN Shelly Beach Day Hospital,30.404661,-30.8017,ZA-KZN
543,Shelly Beach Priv Hospital,30.403837,-30.801178,ZA-KZN
544,Shelly Beach Sub-Acute Hospital,30.403827,-30.801289,ZA-KZN
547,Akeso PMB Hospital,30.410599,-29.6046,ZA-KZN
549,Eden Gardens Priv Hospitalital,30.358003,-29.641302,ZA-KZN
550,Mediclinic Pmb Hospital,30.388683,-29.6086,ZA-KZN
551,Mildlands Med Centre,30.391894,-29.592706,ZA-KZN
552,Netcare St Anne's Hospital,30.384357,-29.6017,ZA-KZN
553,NHN Daymed Priv Hospital,30.407526,-29.5626,ZA-KZN
554,PMB Eye Hospital,30.389616,-29.612982,ZA-KZN
555,Rainbow Hospital,30.998263,-29.834556,ZA-KZN
556,Royal Rehab Hospital,30.38406,-29.603194,ZA-KZN
557,St Mary's Prv Hospital,30.825849,-29.847663,ZA-KZN
559,Wembley House Hospital,30.367027,-29.592498,ZA-KZN
561,Life Hilton Prv Hospital,30.299325,-29.5395,ZA-KZN
562,Mediclinic Howick Hospital,30.218672,-29.477,ZA-KZN
563,NHN Oatlands Care Med Centre,30.217638,-29.4784,ZA-KZN
564,Oatlands Care Centre,30.477968,-29.477968,ZA-KZN
567,Talana Step Down Hospital,30.280919,-27.964849,ZA-KZN
570,Greytown Priv Hospital,30.60663,-29.0607,ZA-KZN
572,Essen Med Centre,29.768812,-28.557,ZA-KZN
573,Ladysmith Sub-Acute Hospital,29.768233,-28.556988,ZA-KZN
574,NHN Lenmed La Verna Hospital,29.779646,-28.5554,ZA-KZN
575,AbaQulusi Priv Hospital,30.775736,-27.7717,ZA-KZN
578,Longridge Colliery Mine Hospital,30.60844,-27.4872,ZA-KZN
579,NHN Nongoma Private Hospital,31.648265,-27.9298,ZA-KZN
582,NHN Pongola Hospital,31.619102,-27.3771,ZA-KZN
74,NHN Matatiele Prv Hospital,28.808675,-30.3522,ZA-EC
100,Life Beacon Bay Hospital,27.939663,-32.9489,ZA-EC
101,Life E London Prv Hospital,27.900134,-33.0125,ZA-EC
