Province,District,Sub-district,Vaccination site,Address,Open days per week,Type
Western Cape,Cape Town MM,CT Western SD,Medscheme Cape Town,"Block F, The Boulevard, Searle Street",5 days,Afrocentric (Private)
Western Cape,Garden Route DM,George LM,Clicks Pharmacy George 2,"Pick n Pay Centre, 4th Street, George",5 days,Clicks (Private)
Western Cape,Garden Route DM,Mossel Bay LM,Clicks Pharmacy Langeberg Mall,"Shop 15 Langerberg Mall, Fourie Road, Voorbaai, Mosselbay",5 days,Clicks (Private)
Western Cape,Garden Route DM,Mossel Bay LM,Clicks Pharmacy Mossel Bay,Louis Fourie Road,5 days,Clicks (Private)
Western Cape,Cape Winelands DM,Breede Valley LM,Clicks Pharmacy Mountain Mill,"Shop 111 Mountain Mill Dr, Hospital Hill, Worcester",5 days,Clicks (Private)
Western Cape,Central Karoo DM,Beaufort West LM,Clicks Pharmacy Beaufort West,"115 Donkin St, Beaufort West",5 days,Clicks (Private)
Western Cape,Cape Winelands DM,Witzenberg LM,Clicks Pharmacy Ceres,"Shop 3 Pick 'n Pay Centre, Voortrekker Street, Ceres",5 days,Clicks (Private)
Western Cape,Overberg DM,Swellendam LM,Clicks Pharmacy Swellendam,"Shop No 1 Swellenmark Mall Swellendam, Main Road, Swellendam",5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Western SD,Clicks Pharmacy Westcoast Village,"Shop 16, West Coast Village Shopping Centre, CNR West Coast & Sandown Roads, Sunningdale",5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Western SD,Clicks Pharmacy The Paddocks,Racecourse Road,5 days,Clicks (Private)
Western Cape,West Coast DM,Matzikama LM,Clicks Pharmacy Vredendal Mall,Church Street,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Eastern SD,Waterstone Village Clicks Pharmacy,C/O Main Road and R44,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Western SD,Clicks Pharmacy V & A Waterfront,Dock Road,5 days,Clicks (Private)
Western Cape,Overberg DM,Overstrand LM,Clicks Pharmacy Gansbaai,Main Road,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Western SD,Clicks Pharmacy Melkbos,2 Birkenhead Shopping Centre,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Western SD,Clicks Pharmacy Table Bay Mall,Table Bay Mall,5 days,Clicks (Private)
Western Cape,Overberg DM,Overstrand LM,Clicks Pharmacy Hermanus,Main Street,5 days,Clicks (Private)
Western Cape,West Coast DM,Swartland LM,Clicks Pharmacy Malmesbury,Cnr Hill & Voortrekker Streets,5 days,Clicks (Private)
Western Cape,Garden Route DM,George LM,Clicks Pharmacy George CBD,Mark Street,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Tygerberg SD,Clicks Pharmacy Delft Mall,"Delft Mall, Hindle Road",5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Western SD,Clicks Pharmacy Seaside Village,Cnr Otto Du Plessis Drive & Cormorant Road,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Northern SD,Clicks Pharmacy Pinehurst,Pinehurst Mall,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Northern SD,Clicks Pharmacy Tygervalley,"Shop 533, Tygervalley Shopping Centre, Bill Bezuidenhout Avenue",5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Southern SD,Clicks Pharmacy Constantia Emporium,"Constantia Emporium, Ladies Mile Rd, Constantia",5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Northern SD,Clicks Pharmacy Edgemead,"Edgemead Shopping Centre, Louis Thibault Drive",5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Northern SD,Clicks Pharmacy Durbanville,"Shop 1, Durbanville Shopping Centre, CNR Main & Wellington Roads",5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Southern SD,Clicks Pharmacy Blue Route,G4 Main Road,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Southern SD,Clicks Pharmacy Ashers,171 Main Road,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Southern SD,Clicks Pharmacy Prospur,76 Churchill Road,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Southern SD,Clicks Pharmacy Capricorn Square,Cnr Prince George Drive & Drury Road,5 days,Clicks (Private)
Western Cape,West Coast DM,Saldanha Bay LM,Clicks Pharmacy Witteklip Mall,Saldahna Road,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Tygerberg SD,Clicks Pharmacy Goodwood,"Goodwood Mall, Cnr Macdonald Street & Voortrekker Roads, Goodwood",5 days,Clicks (Private)
Western Cape,Cape Winelands DM,Drakenstein LM,Clicks Pharmacy Welgelee Plein,Cnr Champagne & Piet Retief Streets,5 days,Clicks (Private)
Western Cape,Cape Winelands DM,Drakenstein LM,Clicks Pharmacy Laborie Centre,Main Road,5 days,Clicks (Private)
Western Cape,Cape Winelands DM,Drakenstein LM,Clicks Pharmacy Paarl Mall,Cnr Vlei & Jones Roads,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Northern SD,Clicks Pharmacy Tygervalley (Intercare),Cnr Old Oak & Durban Roads,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Northern SD,Clicks Pharmacy Brackenfell Centre,Corner of Old Paarl Road and Jeannette Street,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Western SD,Clicks Pharmacy Observatory,"364 Main Road, Cnr Browning and Main Road",5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Eastern SD,Clicks Pharmacy Zevenwacht,Cnr Van Rebeeck & Stellenbosch Roads,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Western SD,Clicks Pharmacy Golden Acre,Castle Street,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Northern SD,Clicks Pharmacy Soneike,C/O Bottelery Road & Amandal Drive,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Western SD,Clicks Pharmacy Glengarrif,2 Main Road,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Southern SD,Clicks Pharmacy Constantia,"Shop 12 & 13, Constantia Courtyard Shopping Centre, Main Road",5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Klipfontein SD,Vangate Mall Clicks Pharmacy,Vanguard Drive,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Western SD,Clicks Pharmacy Pinelands (Howard Centre),Howard Drive,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Western SD,Clicks Pharmacy Canal Walk,103 Lower Level,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Western SD,Clicks Pharmacy Adderley Street,Senso Centre Adderley Street,5 days,Clicks (Private)
Western Cape,Cape Town MM,CT Northern SD,N1 City Clicks Pharmacy,"Shop 6, N1 City, Frans Conradie Drive",5 days,Clicks (Private)
