province,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential
Total,2020-02-15,4.0,0.0,-2.0,-2.0,1.0,-2.0
Total,2020-02-16,-3.0,-1.0,-10.0,-6.0,-1.0,0.0
Total,2020-02-17,-10.0,-10.0,-10.0,3.0,4.0,1.0
Total,2020-02-18,-12.0,-12.0,-8.0,0.0,4.0,1.0
Total,2020-02-19,-12.0,-12.0,-7.0,-2.0,3.0,1.0
Total,2020-02-20,-5.0,-6.0,-6.0,1.0,3.0,-1.0
Total,2020-02-21,-3.0,-6.0,-4.0,4.0,3.0,-3.0
Total,2020-02-22,-4.0,-8.0,-18.0,-8.0,2.0,0.0
Total,2020-02-23,-9.0,-6.0,-21.0,-12.0,-1.0,3.0
Total,2020-02-24,-11.0,-13.0,-10.0,-2.0,5.0,1.0
Total,2020-02-25,-1.0,-1.0,-5.0,2.0,5.0,-1.0
Total,2020-02-26,1.0,-1.0,-4.0,4.0,5.0,-1.0
Total,2020-02-27,6.0,5.0,-6.0,6.0,5.0,-1.0
Total,2020-02-28,12.0,11.0,-6.0,17.0,4.0,-2.0
Total,2020-02-29,20.0,14.0,-8.0,8.0,5.0,-2.0
Total,2020-03-01,18.0,21.0,-3.0,9.0,7.0,-1.0
Total,2020-03-02,4.0,5.0,-7.0,10.0,7.0,1.0
Total,2020-03-03,2.0,5.0,-1.0,11.0,9.0,-1.0
Total,2020-03-04,3.0,5.0,-1.0,9.0,8.0,0.0
Total,2020-03-05,4.0,7.0,-1.0,9.0,8.0,0.0
Total,2020-03-06,7.0,8.0,1.0,13.0,8.0,-1.0
Total,2020-03-07,8.0,6.0,-3.0,2.0,6.0,0.0
Total,2020-03-08,-1.0,3.0,-12.0,-5.0,3.0,2.0
Total,2020-03-09,-8.0,-7.0,-11.0,1.0,6.0,1.0
Total,2020-03-10,-9.0,-8.0,-9.0,0.0,5.0,-1.0
Total,2020-03-11,-9.0,-8.0,-7.0,-2.0,4.0,-2.0
Total,2020-03-12,-6.0,-5.0,-6.0,-4.0,3.0,-2.0
Total,2020-03-13,1.0,2.0,-5.0,-1.0,3.0,-4.0
Total,2020-03-14,2.0,1.0,-10.0,-8.0,4.0,-1.0
Total,2020-03-15,-6.0,0.0,-18.0,-14.0,2.0,2.0
Total,2020-03-16,-10.0,1.0,-18.0,-11.0,2.0,3.0
Total,2020-03-17,-15.0,-4.0,-16.0,-14.0,-3.0,5.0
Total,2020-03-18,-14.0,-4.0,-12.0,-16.0,-8.0,7.0
Total,2020-03-19,-16.0,-5.0,-10.0,-20.0,-14.0,9.0
Total,2020-03-20,-14.0,1.0,-14.0,-19.0,-15.0,9.0
Total,2020-03-21,-24.0,-6.0,-21.0,-26.0,-18.0,8.0
Total,2020-03-22,-31.0,-10.0,-23.0,-36.0,-11.0,9.0
Total,2020-03-23,-20.0,-4.0,-15.0,-33.0,-21.0,11.0
Total,2020-03-24,-7.0,18.0,-16.0,-28.0,-22.0,9.0
Total,2020-03-25,9.0,34.0,-13.0,-19.0,-24.0,7.0
Total,2020-03-26,16.0,59.0,-9.0,-26.0,-32.0,6.0
Total,2020-03-27,-80.0,-61.0,-47.0,-81.0,-75.0,40.0
Total,2020-03-28,-80.0,-60.0,-59.0,-79.0,-58.0,28.0
Total,2020-03-29,-79.0,-60.0,-55.0,-80.0,-49.0,24.0
Total,2020-03-30,-73.0,-51.0,-42.0,-79.0,-74.0,36.0
Total,2020-03-31,-72.0,-47.0,-40.0,-78.0,-74.0,35.0
Total,2020-04-01,-70.0,-42.0,-38.0,-77.0,-73.0,35.0
Total,2020-04-02,-70.0,-41.0,-38.0,-78.0,-73.0,37.0
Total,2020-04-03,-72.0,-42.0,-43.0,-78.0,-73.0,38.0
Total,2020-04-04,-77.0,-52.0,-57.0,-77.0,-55.0,27.0
Total,2020-04-05,-76.0,-51.0,-53.0,-78.0,-44.0,22.0
Total,2020-04-06,-72.0,-48.0,-41.0,-79.0,-73.0,37.0
Total,2020-04-07,-73.0,-46.0,-41.0,-78.0,-73.0,36.0
Total,2020-04-08,-73.0,-44.0,-40.0,-80.0,-74.0,36.0
Total,2020-04-09,-68.0,-34.0,-39.0,-79.0,-74.0,36.0
Total,2020-04-10,-82.0,-62.0,-48.0,-84.0,-85.0,44.0
Total,2020-04-11,-75.0,-46.0,-58.0,-78.0,-56.0,27.0
Total,2020-04-12,-78.0,-54.0,-57.0,-81.0,-46.0,23.0
Total,2020-04-13,-80.0,-61.0,-46.0,-85.0,-85.0,42.0
Total,2020-04-14,-72.0,-46.0,-45.0,-80.0,-72.0,36.0
Total,2020-04-15,-68.0,-38.0,-41.0,-78.0,-72.0,36.0
Total,2020-04-16,-69.0,-38.0,-40.0,-79.0,-71.0,36.0
Total,2020-04-17,-71.0,-38.0,-45.0,-78.0,-70.0,38.0
Total,2020-04-18,-76.0,-48.0,-60.0,-76.0,-52.0,26.0
Total,2020-04-19,-78.0,-52.0,-58.0,-79.0,-42.0,23.0
Total,2020-04-20,-72.0,-47.0,-45.0,-78.0,-69.0,35.0
Total,2020-04-21,-73.0,-47.0,-45.0,-78.0,-69.0,35.0
Total,2020-04-22,-73.0,-46.0,-44.0,-79.0,-69.0,35.0
Total,2020-04-23,-72.0,-44.0,-44.0,-79.0,-69.0,35.0
Total,2020-04-24,-69.0,-36.0,-47.0,-77.0,-68.0,36.0
Total,2020-04-25,-69.0,-36.0,-58.0,-73.0,-48.0,23.0
Total,2020-04-26,-72.0,-40.0,-57.0,-78.0,-40.0,22.0
Total,2020-04-27,-76.0,-52.0,-47.0,-82.0,-82.0,40.0
Total,2020-04-28,-68.0,-39.0,-44.0,-76.0,-67.0,32.0
Total,2020-04-29,-67.0,-37.0,-41.0,-75.0,-67.0,33.0
Total,2020-04-30,-62.0,-27.0,-37.0,-73.0,-65.0,31.0
Total,2020-05-01,-61.0,-31.0,-39.0,-73.0,-76.0,35.0
Total,2020-05-02,-54.0,-22.0,-51.0,-60.0,-35.0,20.0
Total,2020-05-03,-59.0,-28.0,-50.0,-66.0,-26.0,18.0
Total,2020-05-04,-47.0,-24.0,-33.0,-61.0,-52.0,26.0
Total,2020-05-05,-51.0,-25.0,-33.0,-61.0,-53.0,26.0
Total,2020-05-06,-49.0,-20.0,-31.0,-58.0,-52.0,26.0
Total,2020-05-07,-48.0,-19.0,-30.0,-59.0,-52.0,26.0
Total,2020-05-08,-53.0,-22.0,-38.0,-64.0,-51.0,29.0
Total,2020-05-09,-51.0,-19.0,-51.0,-61.0,-28.0,19.0
Total,2020-05-10,-58.0,-25.0,-50.0,-68.0,-21.0,17.0
Total,2020-05-11,-52.0,-32.0,-36.0,-63.0,-50.0,27.0
Total,2020-05-12,-53.0,-30.0,-36.0,-62.0,-50.0,26.0
Total,2020-05-13,-53.0,-29.0,-34.0,-63.0,-50.0,26.0
Total,2020-05-14,-52.0,-27.0,-33.0,-63.0,-50.0,26.0
Total,2020-05-15,-51.0,-22.0,-37.0,-62.0,-48.0,27.0
Total,2020-05-16,-51.0,-22.0,-49.0,-59.0,-25.0,18.0
Total,2020-05-17,-58.0,-29.0,-49.0,-67.0,-20.0,18.0
Total,2020-05-18,-50.0,-31.0,-36.0,-63.0,-47.0,26.0
Total,2020-05-19,-52.0,-31.0,-35.0,-63.0,-48.0,25.0
Total,2020-05-20,-50.0,-26.0,-33.0,-62.0,-48.0,26.0
Total,2020-05-21,-49.0,-24.0,-33.0,-62.0,-48.0,26.0
Total,2020-05-22,-50.0,-23.0,-38.0,-62.0,-46.0,27.0
Total,2020-05-23,-49.0,-20.0,-49.0,-58.0,-22.0,17.0
Total,2020-05-24,-55.0,-26.0,-48.0,-66.0,-18.0,17.0
Total,2020-05-25,-46.0,-26.0,-37.0,-62.0,-47.0,25.0
Total,2020-05-26,-46.0,-24.0,-37.0,-60.0,-45.0,24.0
Total,2020-05-27,-44.0,-19.0,-34.0,-60.0,-44.0,24.0
Total,2020-05-28,-43.0,-17.0,-34.0,-60.0,-43.0,24.0
Total,2020-05-29,-42.0,-13.0,-37.0,-57.0,-42.0,24.0
Total,2020-05-30,-40.0,-9.0,-46.0,-50.0,-14.0,15.0
Total,2020-05-31,-45.0,-12.0,-44.0,-58.0,-7.0,14.0
Total,2020-06-01,-25.0,-5.0,-23.0,-48.0,-35.0,19.0
Total,2020-06-02,-33.0,-12.0,-25.0,-49.0,-35.0,20.0
Total,2020-06-03,-32.0,-9.0,-24.0,-50.0,-35.0,20.0
Total,2020-06-04,-29.0,-4.0,-21.0,-50.0,-35.0,20.0
Total,2020-06-05,-34.0,-10.0,-28.0,-49.0,-35.0,21.0
Total,2020-06-06,-34.0,-9.0,-35.0,-46.0,-11.0,13.0
Total,2020-06-07,-42.0,-15.0,-31.0,-55.0,-6.0,13.0
Total,2020-06-08,-32.0,-14.0,-26.0,-50.0,-33.0,19.0
Total,2020-06-09,-35.0,-15.0,-26.0,-50.0,-33.0,19.0
Total,2020-06-10,-37.0,-16.0,-28.0,-51.0,-34.0,21.0
Total,2020-06-11,-33.0,-12.0,-28.0,-52.0,-35.0,21.0
Total,2020-06-12,-36.0,-16.0,-31.0,-53.0,-34.0,21.0
Total,2020-06-13,-37.0,-16.0,-37.0,-50.0,-10.0,14.0
Total,2020-06-14,-45.0,-23.0,-33.0,-59.0,-6.0,14.0
Total,2020-06-15,-25.0,-10.0,-22.0,-51.0,-38.0,19.0
Total,2020-06-16,-47.0,-29.0,-15.0,-66.0,-70.0,31.0
Total,2020-06-17,-34.0,-15.0,-25.0,-52.0,-34.0,19.0
Total,2020-06-18,-32.0,-13.0,-24.0,-53.0,-35.0,20.0
Total,2020-06-19,-34.0,-14.0,-27.0,-52.0,-34.0,20.0
Total,2020-06-20,-32.0,-10.0,-34.0,-50.0,-8.0,13.0
Total,2020-06-21,-44.0,-20.0,-34.0,-59.0,-3.0,13.0
Total,2020-06-22,-35.0,-23.0,-26.0,-59.0,-37.0,20.0
Total,2020-06-23,-36.0,-20.0,-23.0,-52.0,-36.0,19.0
Total,2020-06-24,-34.0,-18.0,-22.0,-52.0,-34.0,19.0
Total,2020-06-25,-22.0,0.0,-23.0,-50.0,-34.0,18.0
Total,2020-06-26,-25.0,-4.0,-27.0,-48.0,-34.0,18.0
Total,2020-06-27,-26.0,-4.0,-36.0,-45.0,-10.0,12.0
