date, YYYYMMDD, total_admissions, WC, EC, GP, KZN, LP, FS, MP, NW, NC, current_num_in_hospital, general, high_care, ICU, isolation, total_healthcare_workers_admitted, num_discharged_alive, hospital_deaths, source
24-05-2020, 20200524, 3046, 1960, 315, 326, 302, 10, 67, 6, 46, 14, 991, 715, 94, 151, 31, 165, 1615, 389, https://www.nicd.ac.za/wp-content/uploads/2020/05/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200524.pdf
25-05-2020, 20200525, 3216, 2096, 322, 340, 306, 10, 67, 7, 54, 14, 1086, 805, 100, 146, 35, 156, 1669, 409, https://www.nicd.ac.za/wp-content/uploads/2020/05/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200525.pdf
26-05-2020, 20200526, 3439, 2246, 354, 342, 328, 12, 83, 6, 54, 14, 1139, 848, 96, 151, 44, 164, 1800, 447, https://www.nicd.ac.za/wp-content/uploads/2020/05/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200526.pdf
27-05-2020, 20200527, 3802, 2426, 389, 407, 367, 18, 110, 7, 64, 14, 1364, 1042, 119, 162, 41, 180, 1910, 472, https://www.nicd.ac.za/wp-content/uploads/2020/05/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200527.pdf
28-05-2020, 20200528, 4145, 2565, 413, 499, 430, 22, 118, 7, 76, 15, 1581, 1218, 119, 198, 46, 187, 2011, 497, https://www.nicd.ac.za/wp-content/uploads/2020/05/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200528.pdf
29-05-2020, 20200529, 4090, 2664, 425, 402, 395, 13, 91, 7, 78, 15, 1395, 1046, 117, 188, 44, 182, 2118, 519, https://www.nicd.ac.za/wp-content/uploads/2020/05/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200529.pdf
30-05-2020, 20200530, 4361, 2823, 443, 447, 429, 15, 92, 9, 88, 15, 1458, 1098, 115, 205, 40, 187, 2285, 559, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200530.pdf
31-05-2020, 20200531, 4546, 2953, 448, 469, 435, 17, 93, 10, 105, 16, 1555, 1204, 108, 203, 40, 188, 2346, 587, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200531.pdf
01-06-2020, 20200601, 4718, 3078, 452, 497, 439, 17, 95, 10, 114, 16, 1607, 1255, 101, 208, 43, 189, 2441, 608, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200601.pdf
02-06-2020, 20200602, 4927, 3232, 467, 525, 443, 18, 96, 10, 119, 17, 1659, 1283, 115, 217, 44, 193, 2562, 643, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200602.pdf
03-06-2020, 20200603, 5078, 3314, 484, 557, 448, 21, 97, 11, 129, 17, 1638, 1258, 114, 219, 47, 195, 2713, 663, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200603.pdf
04-06-2020, 20200604, 5377, 3530, 493, 603, 459, 22, 107, 11, 136, 16, 1717, 1316, 115, 242, 44, 204, 2893, 702, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200604.pdf
06-06-2020, 20200606, 5945, 3953, 525, 670, 474, 24, 122, 13, 148, 16, 1916, 1456, 138, 265, 57, 210, 3175, 775, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-report-National-20200606.pdf
07-06-2020, 20200607, 6180, 4131, 531, 698, 484, 28, 129, 14, 148, 17, 1928, 1466, 133, 268, 61, 214, 3348, 825, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-report-National-20200607.pdf
08-06-2020, 20200608, 6353, 4246, 547, 719, 492, 29, 133, 14, 156, 17, 1974, 1500, 100, 300, 100, 215, 3446, 854, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200608.pdf
09-06-2020, 20200609, 6682, 4464, 572, 785, 500, 30, 136, 16, 162, 17, 2054, 1540, 159, 286, 69, 219, 3628, 921, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200609.pdf
10-06-2020, 20200610, 6992, 4688, 605, 819, 511, 32, 140, 16, 163, 18, 2113, 1583, 157, 301, 72, 227, 3836, 960, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200610.pdf
11-06-2020, 20200611, 7291, 4878, 621, 888, 520, 34, 141, 17, 174, 18, 2140, 1601, 169, 300, 70, 230, 4052, 1016, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200611.pdf
12-06-2020, 20200612, 7556, 5041, 642, 939, 527, 37, 143, 18, 191, 18, 2287, 1709, 174, 326, 78, 233, 4148, 1035, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200611-1.pdf
13-06-2020, 20200613, 7837, 5227, 648, 981, 550, 38, 148, 19, 208, 18, 2263, 1684, 176, 329, 71, 237, 4396, 1088, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200613.pdf
14-06-2020, 20200614, 8053, 5391, 653, 1001, 567, 39, 151, 20, 210, 21, 2332, 1739, 183, 338, 72, 238, 4502, 1128, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200614.pdf
15-06-2020, 20200615, 8292, 5553, 655, 1050, 576, 42, 157, 23, 214, 22, 2468, 1869, 189, 340, 70, 239, 4576, 1156, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200615.pdf
16-06-2020, 20200616, 8688, 5789, 687, 1124, 594, 45, 169, 25, 233, 22, 2565, 1922, 216, 352, 75, 245, 4804, 1226, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-report-National-20200616.pdf
17-06-2020, 20200617, 8902, 5930, 691, 1153, 609, 45, 178, 27, 247, 22, 2661, 1983, 223, 380, 75, 249, 4878, 1265, https://www.nicd.ac.za/wp-content/uploads/2020/06/NICD-COVID-19-Daily-Sentinel-Hospital-Surveillance-report-National-20200617.pdf
