District,Inpatient crude death rate District hospitals (%),All hospitals (%)
Tshwane,4.7,4.5
Ekurhuleni,4.4,4.2
Sedibeng,5.2,5.2
West Rand,3.9,4.3
Gauteng,4.2,4.5
Amajuba,8.0,5.0
eThekwini,4.5,4.2
Harry Gwala,4.6,4.5
iLembe,5.7,4.6
King Cetshwayo,5.0,5.4
Ugu DM,5.8,5.3
uMgungundlovu,4.8,4.9
uMkhanyakude,4.6,4.5
uMzinyathi,5.4,5.2
uThukela,5.0,5.6
Zululand,5.1,5.0
KwaZulu-Natal,5.0,4.7
Capricorn,5.0,5.5
Mopani,4.6,4.8
Sekhukhune,3.7,4.3
Vhembe,4.7,4.6
Waterberg,4.5,4.7
Limpopo,4.6,4.8
Ehlanzeni,4.4,5.0
Gert Sibande,4.6,4.4
Nkangala,5.4,5.9
Mpumalanga,4.7,5.0
Frances Baard,6.5,5.8
John Taolo Gaetsewe,5.7,5.7
Namakwa,3.3,3.4
Pixley Ka Seme,5.8,5.6
Zwelentlanga Fatman Mgcawu,3.6,4.5
Northern Cape,5.0,5.2
Bojanala Platinum,6.5,6.0
Dr Kenneth Kaunda,5.0,5.7
Dr Ruth Segomotsi Mompati,5.8,5.9
Ngaka Modiri Molema,5.7,5.9
North West,5.9,5.9
Cape Winelands,3.2,2.8
Central Karoo,3.4,3.4
Cape Town,3.1,2.9
Garden Route,3.1,3.2
Overberg,2.5,2.4
West Coast,2.9,3.1
Western Cape,3.0,2.9
South Africa,4.7,4.6
