"Population estimates per district and calendar year 2002-2021, standard DHIS Age groups",,,,,,,,,,
,"Source: StatsSA, January 2017",,,,,,,,,
,,,,,,,,,,
District,DataElement,y2019,y2020,y2021,,,,,,
ec Alfred Nzo District Municipality,Female 00-04 years,55608,55633,55754,,,,,,
,Female 02-04 years,33542,33303,33182,,,,,,
,Female 05-09 years,56602,56357,56108,,,,,,
,Female 06-09 years,45313,45188,45023,,,,,,
,Female 1 year,11060,11124,11197,,,,,,
,Female 10-11 years,22514,22799,22929,,,,,,
,Female 10-14 years,54754,55818,56513,,,,,,
,Female 12 years,11102,11332,11462,,,,,,
,Female 13 years,10781,11047,11235,,,,,,
,Female 14 years,10357,10640,10887,,,,,,
,Female 15 years,9954,10256,10561,,,,,,
,Female 15-19 years,47081,48141,49532,,,,,,
,Female 16 years,9539,9876,10249,,,,,,
,Female 17 years,9246,9547,9917,,,,,,
,Female 18-19 years,18342,18462,18805,,,,,,
,Female 20-24 years,46953,44844,43392,,,,,,
,Female 25-29 years,50597,50182,49039,,,,,,
,Female 30-34 years,41470,44322,45745,,,,,,
,Female 35-39 years,25864,27980,30626,,,,,,
,Female 40-44 years,15632,16686,18223,,,,,,
,Female 45-49 years,12182,12315,12573,,,,,,
,Female 5 years,11289,11169,11085,,,,,,
,Female 50-54 years,11684,11476,11283,,,,,,
,Female 55-59 years,11515,11361,11199,,,,,,
,Female 60-64 years,10431,10549,10577,,,,,,
,Female 65-69 years,8543,8546,8607,,,,,,
,Female 70-74 years,7323,7245,7164,,,,,,
,Female 75-79 years,6167,5990,5866,,,,,,
,Female 80 years and older,7726,7923,8128,,,,,,
,Female under 1 year,11006,11205,11375,,,,,,
,Male 00-04 years,57413,57429,57547,,,,,,
,Male 02-04 years,34560,34329,34221,,,,,,
,Male 05-09 years,58013,57810,57588,,,,,,
,Male 06-09 years,46415,46325,46180,,,,,,
,Male 1 year,11440,11499,11567,,,,,,
,Male 10-11 years,22957,23262,23393,,,,,,
,Male 10-14 years,55624,56761,57504,,,,,,
,Male 12 years,11283,11524,11656,,,,,,
,Male 13 years,10926,11209,11411,,,,,,
,Male 14 years,10457,10766,11045,,,,,,
,Male 15 years,10005,10342,10693,,,,,,
,Male 15-19 years,46614,47890,49596,,,,,,
,Male 16 years,9538,9917,10353,,,,,,
,Male 17 years,9175,9522,9965,,,,,,
,Male 18-19 years,17897,18109,18585,,,,,,
,Male 20-24 years,43833,41879,40603,,,,,,
,Male 25-29 years,44774,44299,43109,,,,,,
,Male 30-34 years,34752,37884,39131,,,,,,
,Male 35-39 years,19362,20918,23418,,,,,,
,Male 40-44 years,11096,12114,13401,,,,,,
,Male 45-49 years,7054,7327,7737,,,,,,
,Male 5 years,11598,11485,11407,,,,,,
,Male 50-54 years,6005,5898,5831,,,,,,
,Male 55-59 years,5686,5527,5371,,,,,,
,Male 60-64 years,4895,4888,4837,,,,,,
,Male 65-69 years,3666,3572,3514,,,,,,
,Male 70-74 years,2875,2758,2625,,,,,,
,Male 75-79 years,2298,2168,2048,,,,,,
,Male 80 years and older,2602,2575,2553,,,,,,
,Male under 1 year,11413,11601,11759,,,,,,
Sum of All Estimated ,,1308403,1322903,1336884,,,,,,
ec Amathole District Municipality,Female 00-04 years,59279,58668,58137,,,,,,
,Female 02-04 years,36096,35608,35196,,,,,,
,Female 05-09 years,61726,61469,61131,,,,,,
,Female 06-09 years,49440,49331,49127,,,,,,
,Female 1 year,11692,11592,11504,,,,,,
,Female 10-11 years,24392,24708,24877,,,,,,
,Female 10-14 years,58581,59885,60823,,,,,,
,Female 12 years,11921,12172,12336,,,,,,
,Female 13 years,11443,11773,12026,,,,,,
,Female 14 years,10824,11231,11584,,,,,,
,Female 15 years,10234,10714,11159,,,,,,
,Female 15-19 years,46898,48897,51049,,,,,,
,Female 16 years,9640,10212,10760,,,,,,
,Female 17 years,9183,9732,10288,,,,,,
,Female 18-19 years,17840,18238,18843,,,,,,
,Female 20-24 years,45066,42236,40551,,,,,,
,Female 25-29 years,53143,51635,49327,,,,,,
,Female 30-34 years,46958,49308,50000,,,,,,
,Female 35-39 years,31025,33305,36013,,,,,,
,Female 40-44 years,18867,20084,21884,,,,,,
,Female 45-49 years,15372,15270,15389,,,,,,
,Female 5 years,12286,12138,12004,,,,,,
,Female 50-54 years,15634,15235,14807,,,,,,
,Female 55-59 years,16200,15646,15155,,,,,,
,Female 60-64 years,15585,15622,15480,,,,,,
,Female 65-69 years,12121,12261,12442,,,,,,
,Female 70-74 years,9296,9100,9005,,,,,,
,Female 75-79 years,8091,7577,7059,,,,,,
,Female 80 years and older,6767,6878,6995,,,,,,
,Female under 1 year,11491,11468,11436,,,,,,
,Male 00-04 years,60953,60391,59933,,,,,,
,Male 02-04 years,37119,36621,36224,,,,,,
,Male 05-09 years,63331,63060,62708,,,,,,
,Male 06-09 years,50708,50596,50381,,,,,,
,Male 1 year,12024,11943,11877,,,,,,
,Male 10-11 years,24971,25330,25509,,,,,,
,Male 10-14 years,59999,61414,62395,,,,,,
,Male 12 years,12200,12482,12656,,,,,,
,Male 13 years,11722,12076,12341,,,,,,
,Male 14 years,11106,11525,11889,,,,,,
,Male 15 years,10521,11000,11458,,,,,,
,Male 15-19 years,48466,50394,52599,,,,,,
,Male 16 years,9929,10488,11052,,,,,,
,Male 17 years,9485,10013,10583,,,,,,
,Male 18-19 years,18531,18893,19506,,,,,,
,Male 20-24 years,47261,44418,42665,,,,,,
,Male 25-29 years,55303,53867,51622,,,,,,
,Male 30-34 years,48277,51539,52307,,,,,,
,Male 35-39 years,29788,31975,35295,,,,,,
