"Population estimates per age , gender and calendar year 2002-2021, 5-year cohorts",,,,,,,,,,,,,,,,,,,,,
,"Source: StatsSA, January 2017",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SUM of EstValue,DataPeriod,,,,,,,,,,,,,,,,,,,,
DataElement,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,Grand Total
Female 00-04 years,2439425,2459128,2492226,2537958,2593673,2658601,2723236,2781191,2828563,2860149,2878675,2885310,2886219,2890287,2895257,2894177,2890015,2882154,2870572,2861296,55208112
Female 05-09 years,2573796,2526248,2480658,2445752,2424488,2419322,2439815,2471723,2516151,2570152,2633065,2697747,2760142,2811962,2850770,2874330,2885641,2890047,2896621,2900169,53068599
Female 10-14 years,2679338,2674679,2667501,2651307,2622922,2579423,2531314,2483034,2445383,2421273,2413304,2433055,2465918,2511822,2569756,2635273,2702764,2767121,2819463,2856326,51930976
Female 15-19 years,2384034,2463365,2552900,2647448,2670203,2686948,2682649,2673310,2654394,2622829,2576137,2527279,2480000,2444005,2423768,2418032,2439950,2473896,2519613,2575280,50916040
Female 20-24 years,2200113,2226634,2246455,2259659,2323763,2398056,2479894,2569321,2662917,2685309,2701508,2699096,2693065,2677929,2652451,2609794,2564332,2518871,2482944,2460562,50112673
Female 25-29 years,2011102,2032545,2056480,2084219,2133827,2176539,2211906,2239583,2259719,2329842,2409330,2497182,2592556,2691573,2722780,2744967,2747675,2744761,2730551,2703379,48120516
Female 30-34 years,1822990,1840139,1854967,1869489,1885744,1905602,1931518,1963894,2002412,2064733,2122022,2172493,2214529,2247757,2328702,2414016,2505297,2601708,2699366,2728223,43175601
Female 35-39 years,1581487,1606735,1628194,1644851,1657960,1669824,1683786,1700780,1722031,1751018,1788697,1833294,1883116,1937762,2013284,2077385,2131488,2175129,2208229,2285320,36980370
Female 40-44 years,1369219,1379639,1389939,1402006,1416903,1434280,1454157,1474337,1493617,1514681,1539612,1568296,1600603,1637351,1679117,1722257,1768456,1817875,1870384,1941317,31474046
Female 45-49 years,1170213,1192583,1211685,1227062,1238629,1247356,1256095,1266940,1281185,1300861,1325759,1354122,1383453,1412573,1442045,1469969,1498607,1529121,1562629,1599546,26970433
Female 50-54 years,954415,975097,995569,1015757,1036239,1057159,1078393,1098720,1117150,1133849,1149416,1165132,1182850,1204066,1229492,1256135,1284025,1311520,1337615,1362634,22945233
Female 55-59 years,777144,791835,807186,823591,841142,859639,879249,899884,921367,944297,968567,993256,1017157,1039533,1059937,1076811,1092593,1109381,1128601,1150653,19181823
Female 60-64 years,619602,633713,647789,661875,675879,689998,704660,720399,737454,755941,775588,796370,818251,841201,865576,889665,913455,935874,956232,973854,15613376
Female 65-69 years,468600,480827,493456,506400,519590,532993,546459,560124,574086,588333,602899,618131,634375,651821,670565,689320,708652,728588,749105,770243,12094567
Female 70-74 years,330798,339594,349052,359120,369673,380713,392008,403608,415539,427805,440299,453078,466202,479722,493678,507350,521357,535907,551109,566800,8783412
