,Black African,,,Coloured,,,Indian/Asian,,,White,,,RSA,,
,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
0-4,2 493 588,2 433 265,4 926 852,242 060,236 024,478 084,50 094,48 388,98 482,117 715,112 812,230 527,2 903 457,2 830 489,5 733 946
5-9,2 489 446,2 422 169,4 911 615,240 168,234 678,474 845,49 765,47 704,97 469,129 355,124 155,253 510,2 908 734,2 828 705,5 737 439
10-14,2 331 064,2 293 569,4 624 633,226 845,222 704,449 549,47 116,44 719,91 835,133 532,128 354,261 886,2 738 556,2 689 347,5 427 902
15-19,1 968 109,1 949 466,3 917 575,206 805,203 900,410 705,44 959,42 502,87 461,124 102,120 159,244 261,2 343 975,2 316 027,4 660 002
20-24,2 075 048,2 049 234,4 124 282,214 488,212 277,426 765,55 525,48 689,104 214,130 335,128 590,258 925,2 475 396,2 438 790,4 914 186
25-29,2 376 819,2 311 026,4 687 845,219 362,218 181,437 544,72 137,58 336,130 473,137 357,135 353,272 710,2 805 676,2 722 896,5 528 571
30-34,2 383 626,2 286 491,4 670 117,210 804,211 304,422 108,79 467,63 396,142 862,152 726,150 149,302 875,2 826 623,2 711 340,5 537 963
35-39,1 910 753,1 847 716,3 758 469,181 326,188 412,369 739,75 996,62 282,138 277,152 533,152 157,304 690,2 320 608,2 250 567,4 571 175
40-44,1 392 548,1 448 164,2 840 712,155 605,159 124,314 730,63 320,54 375,117 695,153 314,158 957,312 271,1 764 787,1 820 620,3 585 408
45-49,1 074 833,1 197 682,2 272 515,150 348,162 533,312 881,55 804,51 111,106 915,174 298,179 008,353 306,1 455 283,1 590 334,3 045 617
50-54,785 476,1 027 394,1 812 870,136 383,161 398,297 781,46 718,47 242,93 959,161 324,169 114,330 438,1 129 900,1 405 148,2 535 048
55-59,637 128,903 083,1 540 211,118 093,138 586,256 679,39 260,42 958,82 218,150 907,162 497,313 404,945 388,1 247 124,2 192 512
60-64,482 543,735 389,1 217 932,86 702,110 581,197 283,31 728,36 855,68 583,144 098,156 581,300 679,745 071,1 039 405,1 784 476
65-69,339 833,554 771,894 604,59 313,83 499,142 812,24 548,31 110,55 658,129 884,147 162,277 046,553 578,816 542,1 370 121
70-74,198 981,381 497,580 478,34 424,54 926,89 350,16 400,23 687,40 088,111 602,128 294,239 896,361 408,588 404,949 812
75-79,106 936,233 195,340 131,18 524,34 402,52 926,9 371,15 839,25 210,80 115,99 493,179 608,214 946,382 928,597 874
80+,78 052,244 365,322 416,11 971,31 001,42 971,6 385,15 223,21 608,82 954,133 019,215 973,179 361,423 608,602 969
23 124 782,24 318 477,47 443 259,2 513 221,2 663 530,5 176 750,768 594,734 413,1 503 007,2 266 151,2 385 855,4 652 006,28 672 747,30 102 275,58 775 022,
Age,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,,,,,,,,,,
,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
0–4,366 330,358 650,724 979,136 294,133 271,269 566,646 704,631 382,1 278 086,624 531,606 570,1 231 101,340 626,330 518,671 145
5–9,386 340,375 040,761 380,144 196,141 022,285 218,625 578,609 549,1 235 127,607 157,589 752,1 196 909,349 044,336 445,685 489
10–14,376 879,368 010,744 889,141 172,140 166,281 338,560 699,554 552,1 115 251,573 074,563 089,1 136 163,326 621,311 593,638 214
15–19,299 385,291 583,590 967,121 277,120 753,242 030,513 427,514 346,1 027 773,492 961,487 612,980 573,267 079,254 592,521 671
20–24,252 572,246 936,499 509,118 601,117 186,235 788,666 410,669 194,1 335 604,505 198,500 833,1 006 031,249 874,241 430,491 304
25–29,263 271,258 119,521 391,128 282,124 777,253 059,830 800,826 453,1 657 254,534 838,526 234,1 061 072,255 603,250 862,506 465
30–34,257 568,255 791,513 360,130 754,126 043,256 796,851 972,822 418,1 674 390,505 101,503 472,1 008 574,245 229,249 486,494 715
35–39,210 454,217 419,427 873,107 408,106 692,214 099,699 448,658 453,1 357 901,392 259,413 146,805 406,201 109,213 356,414 464
40–44,159 263,183 106,342 369,81 233,89 539,170 772,549 909,507 925,1 057 834,282 544,330 508,613 052,148 071,182 798,330 869
45–49,131 071,173 519,304 590,69 390,82 226,151 616,458 148,412 888,871 036,226 914,290 118,517 033,115 433,159 655,275 088
50–54,103 770,163 695,267 466,56 816,74 335,131 151,348 006,354 634,702 640,168 558,255 374,423 932,88 615,137 373,225 989
55–59,92 438,159 309,251 747,48 714,64 995,113 709,287 064,306 248,593 312,143 386,233 152,376 538,71 632,123 746,195 379
60–64,79 775,144 091,223 865,39 702,55 203,94 905,222 590,251 579,474 169,114 078,192 451,306 529,56 346,103 935,160 280
65–69,62 422,114 096,176 518,29 954,45 139,75 093,159 521,189 530,349 051,89 431,155 433,244 864,44 051,86 532,130 583
70–74,43 229,85 121,128 350,19 052,32 183,51 235,100 605,129 565,230 171,60 742,118 042,178 784,29 147,61 701,90 848
75–79,33 110,67 360,100 470,11 560,20 602,32 162,52 244,74 290,126 533,34 596,71 508,106 104,18 145,43 738,61 883
80+,40 376,92 179,132 555,8 158,20 771,28 929,29 477,60 507,89 983,26 755,69 666,96 422,22 246,65 952,88 198
Total,3 158 253,3 554 023,6 712 276,1 392 563,1 494 903,2 887 465,7 602 602,7 573 514,15 176 116,5 382 124,5 906 962,11 289 086,2 828 873,3 153 712,5 982 584
,,Mpumalanga,,Northern Cape,,,North West,,Western Cape,,,All provinces,,,
Age,Male,Female,Total,Male Female Total,,Male,Female,Total,Male Female Total,,Male,Female,Total,,
0–4,235 459,231 177,466 635,63 157 61 733 124 890,,201 889,198 721,400 609,288 467 278 467 566 934,,2 903 457,2 830 489,5 733 946,,
5–9,234 815,230 987,465 802,61 735 59 810 121 544,,204 883,200 706,405 590,294 986 285 394 580 381,,2 908 734,2 828 705,5 737 439,,
10–14,225 726,224 004,449 730,60 117 60 075 120 192,,195 368,193 895,389 264,278 900 273 962 552 862,,2 738 556,2 689 347,5 427 902,,
15–19,193 457,193 178,386 635,50 993 52 175 103 167,,159 675,157 553,317 228,245 721 244 235 489 956,,2 343 975,2 316 027,4 660 002,,
20–24,199 715,194 788,394 503,48 351 48 927 97 278,,159 700,149 445,309 145,274 974 270 050 545 024,,2 475 396,2 438 790,4 914 186,,
25–29,224 775,206 550,431 325,55 188 52 499 107 688,,188 426,165 434,353 859,324 491 311 967 636 458,,2 805 676,2 722 896,5 528 571,,
30–34,231 703,206 382,438 085,60 367 53 395 113 762,,200 937,170 184,371 120,342 992 324 170 667 162,,2 826 623,2 711 340,5 537 963,,
35–39,189 463,171 911,361 374,52 552 44 619 97 171,,172 898,144 740,317 638,295 017 280 232 575 249,,2 320 608,2 250 567,4 571 175,,
40–44,135 504,139 761,275 265,40 087 36 630 76 718,,134 756,121 177,255 934,233 420 229 175 462 595,,1 764 787,1 820 620,3 585 408,,
45–49,105 043,122 378,227 421,33 314 33 615 66 928,,110 037,107 093,217 130,205 932 208 843 414 775,,1 455 283,1 590 334,3 045 617,,
50–54,80 460,104 665,185 125,26 380 30 475 56 856,,89 246,91 479,180 725,168 049 193 117 361 166,,1 129 900,1 405 148,2 535 048,,
55–59,66 384,87 153,153 537,21 745 26 763 48 509,,77 189,78 282,155 471,136 835 167 476 304 311,,945 388,1 247 124,2 192 512,,
60–64,51 077,68 176,119 252,17 989 23 297 41 286,,59 534,64 541,124 075,103 981 136 133 240 114,,745 071,1 039 405,1 784 476,,
65–69,38 232,53 960,92 193,13 703 19 155 32 858,,39 663,49 854,89 517,76 600 102 844 179 444,,553 578,816 542,1 370 121,,
70–74,23 525,36 180,59 706,8 936 14 208 23 144,,24 612,35 850,60 462,51 560 75 554 127 114,,361 408,588 404,949 812,,
75–79,14 077,24 528,38 606,5 670 9 768 15 439,,14 722,25 777,40 499,30 822 45 356 76 179,,214 946,382 928,597 874,,
80+,14 212,32 780,46 992,4 764 11 682 16 446,,9 617,29 277,38 895,23 756 40 794 64 550,,179 361,423 608,602 969,,
Total,2 263 628,2 328 559,4 592 187,625 049 638 826 1 263 875,,2 043 152,1 984 008,4 027 160,3 376 504 3 467 769 6 844 272,,28 672 747,30 102 275,58 775 022,,
