Province,Age,Male,Female,Total
Eastern Cape,0–4,366330,358650,724979
,5–9,386340,375040,761380
,10–14,376879,368010,744889
,15–19,299385,291583,590967
,20–24,252572,246936,499509
,25–29,263271,258119,521391
,30–34,257568,255791,513360
,35–39,210454,217419,427873
,40–44,159263,183106,342369
,45–49,131071,173519,304590
,50–54,103770,163695,267466
,55–59,92438,159309,251747
,60–64,79775,144091,223865
,65–69,62422,114096,176518
,70–74,43229,85121,128350
,75–79,33110,67360,100470
,80+,40376,92179,132555
Total Eastern Cape,,3158253,3554023,6712276
Free State,0–4,136294,133271,269566
,5–9,144196,141022,285218
,10–14,141172,140166,281338
,15–19,121277,120753,242030
,20–24,118601,117186,235788
,25–29,128282,124777,253059
,30–34,130754,126043,256796
,35–39,107408,106692,214099
,40–44,81233,89539,170772
,45–49,69390,82226,151616
,50–54,56816,74335,131151
,55–59,48714,64995,113709
,60–64,39702,55203,94905
,65–69,29954,45139,75093
,70–74,19052,32183,51235
,75–79,11560,20602,32162
,80+,8158,20771,28929
Total Free State,,1392563,1494903,2887465
Gauteng,0–4,646704,631382,1278086
,5–9,625578,609549,1235127
,10–14,560699,554552,1115251
,15–19,513427,514346,1027773
,20–24,666410,669194,1335604
,25–29,830800,826453,1657254
,30–34,851972,822418,1674390
,35–39,699448,658453,1357901
,40–44,549909,507925,1057834
,45–49,458148,412888,871036
,50–54,348006,354634,702640
,55–59,287064,306248,593312
,60–64,222590,251579,474169
,65–69,159521,189530,349051
,70–74,100605,129565,230171
,75–79,52244,74290,126533
,80+,29477,60507,89983
Total Gauteng,,7602602,7573514,15176116
Mpumalanga,0–4,235459,231177,466635
,5–9,234815,230987,465802
,10–14,225726,224004,449730
,15–19,193457,193178,386635
,20–24,199715,194788,394503
,25–29,224775,206550,431325
,30–34,231703,206382,438085
,35–39,189463,171911,361374
,40–44,135504,139761,275265
,45–49,105043,122378,227421
,50–54,80460,104665,185125
,55–59,66384,87153,153537
,60–64,51077,68176,119252
,65–69,38232,53960,92193
,70–74,23525,36180,59706
,75–79,14077,24528,38606
,80+,14212,32780,46992
Total Mpumalanga,,2263628,2328559,4592187
KwaZulu-Natal,0–4,624531,606570,1231101
,5–9,607157,589752,1196909
,10–14,573074,563089,1136163
,15–19,492961,487612,980573
,20–24,505198,500833,1006031
,25–29,534838,526234,1061072
,30–34,505101,503472,1008574
,35–39,392259,413146,805406
,40–44,282544,330508,613052
,45–49,226914,290118,517033
,50–54,168558,255374,423932
,55–59,143386,233152,376538
,60–64,114078,192451,306529
,65–69,89431,155433,244864
,70–74,60742,118042,178784
,75–79,34596,71508,106104
,80+,26755,69666,96422
Total KwaZulu-Natal,,5382124,5906962,11289086
Limpopo,0–4,340626,330518,671145
,5–9,349044,336445,685489
,10–14,326621,311593,638214
,15–19,267079,254592,521671
,20–24,249874,241430,491304
,25–29,255603,250862,506465
,30–34,245229,249486,494715
,35–39,201109,213356,414464
,40–44,148071,182798,330869
,45–49,115433,159655,275088
,50–54,88615,137373,225989
,55–59,71632,123746,195379
,60–64,56346,103935,160280
,65–69,44051,86532,130583
,70–74,29147,61701,90848
,75–79,18145,43738,61883
,80+,22246,65952,88198
Total Limpopo,,2828873,3153712,5982584
Northern Cape,0–4,63157,61733,124890
,5–9,61735,59810,121544
,10–14,60117,60075,120192
,15–19,50993,52175,103167
,20–24,48351,48927,97278
,25–29,55188,52499,107688
,30–34,60367,53395,113762
,35–39,52552,44619,97171
,40–44,40087,36630,76718
,45–49,33314,33615,66928
,50–54,26380,30475,56856
,55–59,21745,26763,48509
,60–64,17989,23297,41286
,65–69,13703,19155,32858
,70–74,8936,14208,23144
,75–79,5670,9768,15439
,80+,4764,11682,16446
Total Northern Cape,,625049,638826,1263875
North West,0–4,201889,198721,400609
,5–9,204883,200706,405590
,10–14,195368,193895,389264
,15–19,159675,157553,317228
,20–24,159700,149445,309145
,25–29,188426,165434,353859
,30–34,200937,170184,371120
,35–39,172898,144740,317638
,40–44,134756,121177,255934
,45–49,110037,107093,217130
,50–54,89246,91479,180725
,55–59,77189,78282,155471
,60–64,59534,64541,124075
,65–69,39663,49854,89517
,70–74,24612,35850,60462
,75–79,14722,25777,40499
,80+,9617,29277,38895
Total North West,,2043152,1984008,4027160
Western Cape,0–4,288467,278467,566934
,5–9,294986,285394,580381
,10–14,278900,273962,552862
,15–19,245721,244235,489956
,20–24,274974,270050,545024
,25–29,324491,311967,636458
,30–34,342992,324170,667162
,35–39,295017,280232,575249
,40–44,233420,229175,462595
,45–49,205932,208843,414775
,50–54,168049,193117,361166
,55–59,136835,167476,304311
,60–64,103981,136133,240114
,65–69,76600,102844,179444
,70–74,51560,75554,127114
,75–79,30822,45356,76179
,80+,23756,40794,64550
Total Western Cape,,3376504,3467769,6844272
All Provinces,0–4,2903457,2830489,5733946
,5–9,2908734,2828705,5737439
,10–14,2738556,2689347,5427902
,15–19,2343975,2316027,4660002
,20–24,2475396,2438790,4914186
,25–29,2805676,2722896,5528571
,30–34,2826623,2711340,5537963
,35–39,2320608,2250567,4571175
,40–44,1764787,1820620,3585408
,45–49,1455283,1590334,3045617
,50–54,1129900,1405148,2535048
,55–59,945388,1247124,2192512
,60–64,745071,1039405,1784476
,65–69,553578,816542,1370121
,70–74,361408,588404,949812
,75–79,214946,382928,597874
,80+,179361,423608,602969
Total All Provinces,,28672747,30102275,58775022
